"body_part","diagonal_influence"
"hemolymph",1.273
"enteric",1.77
"pharynx",2.074
"proboscis",1.59
"antenna",0.05766
"eye",0.01028
"neck",1.211
"wing",2.692
"haltere",2.468
"front leg",5.705
"middle leg",5.704
"hind leg",5.686
"abdomen",8.081
"reproductive",0.3076
