"source_bp","target_bp","cosine_similarity","influence","is_same_bp"
"pharynx","wing",0.0284656555163514,0.02034,FALSE
"proboscis","wing",0.0356474827932594,0.01934,FALSE
"antenna","wing",0.520901034033921,0.1265,FALSE
"eye","wing",0.403606671124393,0.1742,FALSE
"neck","wing",0.332694378502344,0.1062,FALSE
"wing","wing",1,2.692,TRUE
"haltere","wing",0.386957389091254,0.8724,FALSE
"front leg","wing",0.0956100946407587,0.1266,FALSE
"middle leg","wing",0.128161742633833,0.1874,FALSE
"hind leg","wing",0.121568484176387,0.1273,FALSE
"abdomen","wing",0.067917813593187,0.04961,FALSE
"reproductive","wing",0.0304362068136939,0.01548,FALSE
"hemolymph","haltere",0.138185396987841,0.004162,FALSE
"enteric","haltere",0.0136328759728103,0.01287,FALSE
"pharynx","haltere",0.0416590310345944,0.003528,FALSE
"proboscis","haltere",0.0163442512392835,0.004402,FALSE
"antenna","haltere",0.194071313947109,0.02559,FALSE
"eye","haltere",0.307688748156057,0.2641,FALSE
"neck","haltere",0.64573526701906,0.6194,FALSE
"wing","haltere",0.386957389091254,0.2029,FALSE
"haltere","haltere",1,2.468,TRUE
"front leg","haltere",0.0305912364857488,0.02258,FALSE
"middle leg","haltere",0.0368027910881393,0.04354,FALSE
"hind leg","haltere",0.0743277385619981,0.05603,FALSE
"abdomen","haltere",0.0594968280606658,0.03634,FALSE
"reproductive","haltere",0.017232035406017,0.003618,FALSE
"hemolymph","front leg",0.0424020155714626,0.0179,FALSE
"enteric","front leg",0.0186848189957697,0.01363,FALSE
"pharynx","front leg",0.0482162637151481,0.08188,FALSE
"proboscis","front leg",0.184379852793689,0.3631,FALSE
"antenna","front leg",0.459056984011558,0.1219,FALSE
"eye","front leg",0.473051598851149,0.132,FALSE
"neck","front leg",0.144645109117401,0.1492,FALSE
"wing","front leg",0.0956100946407587,0.2169,FALSE
"haltere","front leg",0.0305912364857488,0.03913,FALSE
"front leg","front leg",1,5.705,TRUE
"middle leg","front leg",0.226002926435512,0.6243,FALSE
"hind leg","front leg",0.140058365007283,0.3888,FALSE
"abdomen","front leg",0.0394517686713406,0.0696,FALSE
"reproductive","front leg",0.0316756709802179,0.02766,FALSE
"hemolymph","middle leg",0.0490896076094389,0.01196,FALSE
"enteric","middle leg",0.0108369137411875,0.006728,FALSE
"pharynx","middle leg",0.0230470392727174,0.03807,FALSE
"proboscis","middle leg",0.0862935802318811,0.127,FALSE
"antenna","middle leg",0.352564088697004,0.108,FALSE
"eye","middle leg",0.425215500043066,0.03921,FALSE
"neck","middle leg",0.0981420998941925,0.04978,FALSE
"wing","middle leg",0.128161742633833,0.2932,FALSE
"haltere","middle leg",0.0368027910881393,0.05386,FALSE
"front leg","middle leg",0.226002926435512,0.6218,FALSE
"middle leg","middle leg",1,5.704,TRUE
"hind leg","middle leg",0.262180056100575,0.8376,FALSE
"abdomen","middle leg",0.0464319334873114,0.06318,FALSE
"reproductive","middle leg",0.0370323090526822,0.05723,FALSE
"hemolymph","hind leg",0.0379756319109247,0.01288,FALSE
"enteric","hind leg",0.00964921639305732,0.007017,FALSE
"pharynx","hind leg",0.0170522280297439,0.02764,FALSE
"proboscis","hind leg",0.0498553839257449,0.09316,FALSE
"antenna","hind leg",0.255802567748646,0.07683,FALSE
"eye","hind leg",0.367967753344073,0.03519,FALSE
"neck","hind leg",0.0883417744174909,0.04277,FALSE
"wing","hind leg",0.121568484176387,0.3171,FALSE
"haltere","hind leg",0.0743277385619981,0.258,FALSE
"front leg","hind leg",0.140058365007283,0.3321,FALSE
"middle leg","hind leg",0.262180056100575,0.6391,FALSE
"hind leg","hind leg",1,5.686,TRUE
