bodyid,dataset,flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,sexually_dimorphic,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted
14598,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN16B029,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,16B,isomorphic,glutamate,NA,glutamate
14622,MANC,efferent,motor,leg_motor_neuron,hind_leg_motor_neuron,MNhl75,ventral_nerve_cord,right,leg_motor,unknown_leg_movement,leg_muscle,NA,hind_leg,right_metathoracic_leg_nerve,TBD,isomorphic,NA,NA,glutamate
14655,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN03A027,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,03A,isomorphic,acetylcholine,NA,acetylcholine
14720,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN16B040,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,16B,isomorphic,glutamate,NA,glutamate
14857,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN21A023,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,21A,isomorphic,NA,NA,glutamate
14958,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN04B042,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,04B,isomorphic,acetylcholine,NA,acetylcholine
14963,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN16B086,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,16B,isomorphic,glutamate,NA,glutamate
14988,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN04B044,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,04B,isomorphic,acetylcholine,NA,acetylcholine
15004,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN04B068,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,04B,isomorphic,acetylcholine,NA,acetylcholine
15018,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN04B043,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,04B,isomorphic,acetylcholine,NA,acetylcholine
15039,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN01B006,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,01B,isomorphic,gaba,NA,gaba
15103,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN04B068,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,04B,isomorphic,acetylcholine,NA,acetylcholine
15150,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN17A052,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,17A,isomorphic,acetylcholine,NA,acetylcholine
15250,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,IN16B045,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,16B,isomorphic,glutamate,NA,glutamate
15282,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN13B025,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,13B,isomorphic,gaba,NA,gaba
15286,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN13A050,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,13A,isomorphic,gaba,NA,gaba
15323,MANC,intrinsic,ventral_nerve_cord_intrinsic,NA,ventral_nerve_cord_ipsilateral_restricted,IN16B096,ventral_nerve_cord,right,NA,NA,NA,NA,NA,NA,16B,isomorphic,glutamate,NA,glutamate
15350,MANC,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_contralateral_restricted,IN13B023,ventral_nerve_cord,left,NA,NA,NA,NA,NA,NA,13B,isomorphic,gaba,NA,glutamate
