root_id,UMAP1,UMAP2,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941415484956,-10.839522747408406,3.2643518366605515,77129367171443254,"148034, 157308, 3328",right,ventral_nerve_cord,ventral_nerve_cord_intrinsic,12B,NA,IN12B065,NA,IN12B065,NA,leg VNC
720575941415486356,3.207538457501872,-0.7281363687723406,75788306851652174,"109693, 35957, 4415",right,central_brain,central_brain_intrinsic,SMPad2,NA,CB2259,CB2259,NA,NA,inferior brain
720575941415487260,6.567062945950968,-11.939620741388154,77196025333023542,"151133, 46400, 4578",left,central_brain,central_brain_intrinsic,MBp,NA,KCg-m,KCg-m,NA,NA,left olfactory
720575941415487516,5.7675667720923265,-15.826770552179172,77196094052472389,"150346, 48542, 4565",left,central_brain,central_brain_intrinsic,MBp,NA,KCab,KCab,NA,NA,left olfactory
720575941415488916,2.900553794492228,5.991008988836454,73607287830759853,"47045, 48491, 3460",right,optic_lobe,visual_projection,NA,NA,LLPC3,LLPC3,NA,NA,right visual
720575941415493009,-1.3820361179223228,-10.254366644403294,78462662459252622,"188078, 46152, 3362",left,optic_lobe,visual_projection,NA,NA,LPC2,auto:T5b,NA,NA,left visual
720575941415497617,-9.38134994925167,9.571544877508332,76353180548095777,"125448, 92500, 3003",left,ventral_nerve_cord,ascending,11B,NA,AN11B008,AN_GNG_175,AN11B008,head orienting,dorsal VNC
720575941415503761,-8.51975574911739,1.014428249815153,76989042134628472,"144255,168021,3982",left,ventral_nerve_cord,NA,NA,NA,NA,NA,auto:WG2,NA,leg VNC
720575941415533969,3.9362293201575107,8.115596047857451,74381274894644672,"67880, 46079, 1947",right,optic_lobe,visual_projection,VPNp3,visual,LC11,LC11,NA,NA,right visual
720575941415548308,-2.355841068636434,-4.230381258508515,77336144144726961,"155296, 27743, 3780",left,central_brain,central_brain_intrinsic,VLPl&d1_dorsal,NA,AVLP243,AVLP243,NA,NA,lateral brain
720575941415563804,5.461820693601116,-14.619601019403296,76773812934928791,"138003, 46988, 4786",left,central_brain,central_brain_intrinsic,MBp,NA,KCg,auto:KCab,NA,NA,left olfactory
720575941415571345,3.894842477429849,-1.4520113549440632,75506488143682369,"101159, 24813, 4029",right,central_brain,central_brain_intrinsic,CREa2_ventral,NA,SIP024,SIP024,NA,NA,superior brain
720575941415573905,13.715012164700969,-6.966350801965548,76280613182916468,"124362, 26901, 4381",left,central_brain,central_brain_intrinsic,DM4_CX_d3,NA,FC1C,"FC1C,FC1E",NA,NA,central complex related
720575941415576209,5.675167651761515,-6.825949438592745,77617825816571244,"162864, 33664, 5814",left,central_brain,central_brain_intrinsic,LHd2,NA,CB0311,CB0311,NA,NA,left olfactory
720575941415582865,4.511067958463176,-2.410142668268038,76913588283331709,"142492, 18051, 4461",left,central_brain,central_brain_intrinsic,putative_primary,visual,MBON35,MBON35,NA,NA,inferior brain
720575941415584657,6.087371440518839,-2.9530010304659142,76632663330649549,"133903, 33722, 5404",left,central_brain,central_brain_intrinsic,DM4_dorsal,NA,SMP408_d,SMP408_d,NA,NA,superior brain
720575941415585169,5.587693305600628,-6.327928312799287,77477225699715515,"158762, 37733, 5411",left,central_brain,central_brain_intrinsic,LHd2,NA,CB3361,CB3361,NA,NA,left olfactory
720575941415587100,-10.624755291353718,9.72267269275491,76918811164803614,"142017, 172268, 5187",left,ventral_nerve_cord,ventral_nerve_cord_intrinsic,16B,proprioception,IN16B092,NA,IN16B092,NA,dorsal VNC
720575941415594780,-9.14274158896114,3.8736238398343787,76988835708067705,"145192,163816,3063",left,ventral_nerve_cord,NA,NA,NA,NA,NA,auto:SNta43,NA,leg VNC
720575941415595036,-8.508408932100789,1.0026117481977215,77200079781759342,"149845, 166544, 4445",left,ventral_nerve_cord,NA,NA,NA,NA,NA,auto:SNta11,NA,leg VNC
720575941415598737,-8.30390396536495,2.5275986113340134,76000649431214869,"116604, 73047, 2275",right,central_brain,descending,putative_primary,walking,DNb08,DNb08,DNb08,walking,leg VNC
720575941415599508,-11.066332249056357,0.30314480445687664,76005804130141234,"116620, 225690, 5074",left,ventral_nerve_cord,ventral_nerve_cord_intrinsic,04B,NA,IN04B088,NA,IN04B088,NA,leg VNC
720575941415605276,-10.550097851168173,-0.2594016871660482,76005391678636619,"114735, 214695, 4399",right,ventral_nerve_cord,ascending,10B,NA,AN10B037,AN_GNG_88,AN10B037,proprioceptive,leg VNC
720575941415611793,3.7388003784308266,-0.14556325294668782,75366094386831384,"97690, 35221, 4506",right,central_brain,central_brain_intrinsic,CLp2,NA,SMP282,SMP282,NA,NA,inferior brain
720575941415612564,-2.717640547167319,-10.001841314813449,78322130660120552,"183534, 51429, 1764",left,optic_lobe,visual_projection,NA,NA,LLPC1,LLPC1,NA,NA,left visual
720575941415618449,-11.044257549654498,0.012207023122953327,76357785222270674,"125977, 230654, 4630",left,ventral_nerve_cord,NA,NA,NA,NA,NA,NA,NA,leg VNC
720575941415623316,4.2504392582068276,0.5561357655317056,75225494337396393,"92753, 40530, 4508",right,optic_lobe,visual_projection,NA,NA,LTe23,LTe23,NA,NA,inferior brain
720575941415629596,2.1385746914038486,-1.3256077847688923,76492749536595677,"130617, 58741, 1858",left,central_brain,central_brain_intrinsic,LB7__prim,NA,CB0477,CB0477,NA,NA,inferior brain
720575941415639580,6.015531631101115,-13.197638281366183,77195956613491920,"149799, 43732, 4560",left,central_brain,central_brain_intrinsic,MBp,NA,KCg-m,KCg-m,NA,NA,left olfactory
720575941415640604,13.422605128873332,7.664072267034696,75296000520880589,"96225, 44086, 4607",right,central_brain,central_brain_intrinsic,MBp,NA,KCg-m,KCg-m,NA,NA,right olfactory
720575941415655828,4.2445493656287026,7.92069267413919,74240331448818382,"64725, 40547, 2578",right,optic_lobe,visual_projection,VPNp3,visual,LC21,LC21,NA,NA,right visual
720575941415657873,9.184255214322551,1.9769136824399696,75717662558538017,"106853, 28465, 1872",right,central_brain,central_brain_intrinsic,putative_primary,NA,AL-AST1,AL-AST1,NA,NA,right olfactory
720575941415707028,5.052477927793008,-3.504534014245821,76914138106094025,"141844, 34321, 4657",left,central_brain,central_brain_intrinsic,SMPpv2_dorsal,NA,SMP255,SMP255,NA,NA,superior brain
720575941415707420,-2.794475941072958,-2.978279837152315,76914412179038055,"142722, 42941, 1715",left,central_brain,descending,MD3,NA,DNg24,DNg24,DNg24,reproduction,lateral brain
720575941415711892,-11.636146931063193,4.848158112981962,76284392150406773,"124400, 140048, 2188",right,ventral_nerve_cord,ventral_nerve_cord_intrinsic,16B,NA,IN16B018,NA,IN16B018,NA,leg VNC
720575941415712660,0.11903251885269399,-6.37136102535422,77899437359644135,"171887, 37146, 2383",left,optic_lobe,visual_projection,VPNd2,visual,LC10a,LC10a,NA,NA,left visual
720575941415715732,1.2092781978735756,2.679785958746123,75154919032377576,"90834, 34495, 3041",right,central_brain,central_brain_intrinsic,DL1_ventral,NA,CB1552,CB1552,NA,NA,lateral brain
720575941415717777,14.479319186795696,7.7751676955014934,75365544430012157,"97390, 18844, 3836",right,central_brain,central_brain_intrinsic,MBp,NA,KCa'b',KCapbp-ap1,NA,NA,right olfactory
720575941415725713,9.62315425454472,2.907362214544462,75647225229556830,"105644, 25846, 2547",right,central_brain,central_brain_intrinsic,ALv1,olfactory,VL2p_vPN,VL2p_vPN,NA,NA,right olfactory
720575941415738257,5.70650920449589,-6.737392672082736,77758563103423419,"165904, 33045, 4956",left,central_brain,central_brain_intrinsic,LHa1,NA,CB2919,CB2919,NA,NA,left olfactory
720575941415745425,-3.8256360572686368,-3.9421985230654006,77546975230997339,"160003, 20216, 2800",left,central_brain,central_brain_intrinsic,VLPl2_medial,NA,AVLP194_a,AVLP194_a,NA,NA,lateral brain
720575941415749009,7.467646213162882,-0.013598092576814746,74802938207607473,"80781, 29077, 4156",right,central_brain,central_brain_intrinsic,SLPal2,NA,CB1462,CB1462,NA,NA,superior brain
720575941415760156,5.912195296872598,-14.769741781732392,77195338003494304,"150864, 25894, 3866",left,central_brain,central_brain_intrinsic,MBp,NA,KCg-m,KCg-m,NA,NA,left olfactory
720575941415762836,-8.62016334952022,2.5967352309018836,75793048495747542,"108654, 177822, 4478",right,ventral_nerve_cord,ventral_nerve_cord_intrinsic,14B,NA,IN14B001,NA,IN14B001,NA,leg VNC
720575941415764116,6.136037440885049,-2.3122830472200637,75717869589420570,"108437, 33807, 5223",right,central_brain,central_brain_intrinsic,DM4_dorsal,NA,SMP408_c,SMP408_c,NA,NA,superior brain
720575941415766161,-6.74216022909786,-0.019482531329942793,77199942275898719,"149857, 163139, 4252",left,ventral_nerve_cord,NA,NA,NA,NA,NA,auto:WG3,NA,leg VNC
720575941415766420,-2.414830116640584,-4.437896021386934,77969256683860063,"173480, 22156, 3770",left,central_brain,central_brain_intrinsic,putative_primary,NA,AVLP053,AVLP053,NA,NA,lateral brain
720575941415767185,-11.192149547945517,4.212609521368193,76143998057708970,"119268, 151161, 1516",right,ventral_nerve_cord,NA,NA,NA,NA,NA,auto:SNta34,NA,leg VNC
720575941415768980,0.6122054773459267,2.550671569326567,74591831438526948,"74046, 30305, 2223",right,central_brain,central_brain_intrinsic,VLPl&p2_lateral,NA,CB3579,CB3579,NA,NA,lateral brain
