flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,sexually_dimorphic,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted,other_names,alignment_cell_type,fafb_783_cell_type,manc_121_cell_type,fanc_1116_cell_type,hemibrain_121_cell_type,malecns_09_cell_type,fafb_783_match_id,manc_121_match_id,fanc_1116_match_id,hemibrain_121_match_id,malecns_09_match_id
,,ventral_nerve_cord_bilateral_restricted,KCa'b',,,,,,,,,,FLAa2,,,,,,,,,,,,,,,,
,,ventral_nerve_cord_centrifugal,KCab,,,,,,,,,,FLAa3,,,,,,,,,,,,,,,,
,,ventral_nerve_cord_centripetal,KCapbp,,,,,,,,,,LALa1_anterior,,,,,,,,,,,,,,,,
,,ventral_nerve_cord_contralateral_interconnecting,KCg,,,,,,,,,,LALa1_posterior,,,,,,,,,,,,,,,,
,,ventral_nerve_cord_contralateral_restricted,kenyon_cell,,,,,,,,,,LALv1_dorsal,,,,,,,,,,,,,,,,
,,ventral_nerve_cord_dorsal,labellum_bristle_neuron,,,,,,,,,,LALv1_ventral,,,,,,,,,,,,,,,,
,,ventral_nerve_cord_ipsilateral_interconnecting,labellum_orphan_neuron,,,,,,,,,,LB0_anterior,,,,,,,,,,,,,,,,
,,ventral_nerve_cord_ipsilateral_restricted,labellum_taste_bristle_gustatory_neuron,,,,,,,,,,LB0_posterior,,,,,,,,,,,,,,,,
,,ventral_nerve_cord_neurosecretory_cell,labellum_taste_peg_gustatory_neuron,,,,,,,,,,LB11,,,,,,,,,,,,,,,,
,,ventral_nerve_cord_serially_convergent,labellum_taste_peg_tactile_neuron,,,,,,,,,,LB11__prim,,,,,,,,,,,,,,,,
,,wedge_projection_neuron,lamina_monopolar,,,,,,,,,,LB12,,,,,,,,,,,,,,,,
,,wing_motor_neuron,lamina_tangential,,,,,,,,,,LB12__prim,,,,,,,,,,,,,,,,
,,y_neuron,lamina_wide_field,,,,,,,,,,LB19,,,,,,,,,,,,,,,,
,,,lateral_horn_centrifugal_neuron,,,,,,,,,,LB19__prim,,,,,,,,,,,,,,,,
,,,lateral_horn_local_neuron,,,,,,,,,,LB23,,,,,,,,,,,,,,,,
,,,lateral_horn_output_neuron,,,,,,,,,,LB23__prim,,,,,,,,,,,,,,,,
,,,LNd,,,,,,,,,,LB3,,,,,,,,,,,,,,,,
,,,lobula_columnar,,,,,,,,,,LB3__prim,,,,,,,,,,,,,,,,
,,,lobula_intrinsic,,,,,,,,,,LB5,,,,,,,,,,,,,,,,
,,,lobula_lobula_plate_columnar,,,,,,,,,,LB5__prim,,,,,,,,,,,,,,,,
,,,lobula_lobula_plate_tangential,,,,,,,,,,LB6,,,,,,,,,,,,,,,,
,,,lobula_medulla_amacrine,,,,,,,,,,LB6__prim,,,,,,,,,,,,,,,,
,,,lobula_medulla_tangential,,,,,,,,,,LB7,,,,,,,,,,,,,,,,
,,,lobula_plate_columnar,,,,,,,,,,LB7__prim,,,,,,,,,,,,,,,,
,,,lobula_plate_intrinsic,,,,,,,,,,LHa1,,,,,,,,,,,,,,,,
,,,lobula_plate_lobula_columnar,,,,,,,,,,LHa2,,,,,,,,,,,,,,,,
,,,lobula_plate_tangential_cell,,,,,,,,,,LHa3,,,,,,,,,,,,,,,,
,,,lobula_tangential,,,,,,,,,,LHd1,,,,,,,,,,,,,,,,
,,,LPN,,,,,,,,,,LHd2,,,,,,,,,,,,,,,,
,,,mAL,,,,,,,,,,LHl1,,,,,,,,,,,,,,,,
,,,maxillary_palp_bristle_neuron,,,,,,,,,,LHl2_dorsal,,,,,,,,,,,,,,,,
,,,maxillary_palp_olfactory_receptor_neuron,,,,,,,,,,LHl2_ventral,,,,,,,,,,,,,,,,
,,,medial_antennal_lobula,,,,,,,,,,LHl3,,,,,,,,,,,,,,,,
,,,medulla_intrinsic,,,,,,,,,,LHl4_dorsal,,,,,,,,,,,,,,,,
,,,medulla_lobula_lobula_plate_amacrine,,,,,,,,,,LHl4_posterior,,,,,,,,,,,,,,,,
,,,medulla_lobula_plate,,,,,,,,,,LHp1,,,,,,,,,,,,,,,,
,,,medulla_lobula_tangential,,,,,,,,,,LHp2,,,,,,,,,,,,,,,,
,,,medulla_medulla,,,,,,,,,,LHp3,,,,,,,,,,,,,,,,
,,,medulla_tangential,,,,,,,,,,MBp,,,,,,,,,,,,,,,,
,,,medulla_tubercle,,,,,,,,,,MD_SA1,,,,,,,,,,,,,,,,
,,,metathoracic_chordotonal_organ_neuron,,,,,,,,,,MD_SA1__prim,,,,,,,,,,,,,,,,
,,,middle_leg_bilateral_campaniform_sensillum_neuron,,,,,,,,,,MD0__prim,,,,,,,,,,,,,,,,
,,,middle_leg_bristle_neuron,,,,,,,,,,MD3,,,,,,,,,,,,,,,,
,,,middle_leg_campaniform_sensillum_neuron,,,,,,,,,,MX0__prim,,,,,,,,,,,,,,,,
,,,middle_leg_chordotonal_organ_neuron,,,,,,,,,,MX12,,,,,,,,,,,,,,,,
,,,middle_leg_claw_chordotonal_organ_neuron,,,,,,,,,,MX12__prim,,,,,,,,,,,,,,,,
,,,middle_leg_club_chordotonal_organ_neuron,,,,,,,,,,MX3,,,,,,,,,,,,,,,,
,,,middle_leg_hair_plate_neuron,,,,,,,,,,MX7,,,,,,,,,,,,,,,,
,,,middle_leg_hook_chordotonal_organ_neuron,,,,,,,,,,MX7__prim,,,,,,,,,,,,,,,,
,,,middle_leg_motor_neuron,,,,,,,,,,no_lineage,,,,,,,,,,,,,,,,
,,,middle_leg_multidendritic_neuron,,,,,,,,,,PBp1,,,,,,,,,,,,,,,,
,,,middle_leg_neurosecretory_cell,,,,,,,,,,primary,,,,,,,,,,,,,,,,
,,,middle_leg_orphan_neuron,,,,,,,,,,PSa1,,,,,,,,,,,,,,,,
,,,middle_leg_taste_bristle_gustatory_neuron,,,,,,,,,,PSp1,,,,,,,,,,,,,,,,
,,,middle_leg_taste_bristle_neuron,,,,,,,,,,PSp2,,,,,,,,,,,,,,,,
,,,multiglomerular_projection_neuron,,,,,,,,,,PSp3,,,,,,,,,,,,,,,,
,,,mushroom_body_extrinsic_neuron,,,,,,,,,,putative_primary,,,,,,,,,,,,,,,,
,,,mushroom_body_output_neuron,,,,,,,,,,SIPa1_dorsal,,,,,,,,,,,,,,,,
,,,neck_chordotonal_organ_neuron,,,,,,,,,,SIPa1_ventral,,,,,,,,,,,,,,,,
,,,neck_motor_neuron,,,,,,,,,,SIPp1,,,,,,,,,,,,,,,,
,,,neck_neurosecretory_cell,,,,,,,,,,SLPa&l1_anterior,,,,,,,,,,,,,,,,
,,,neck_pitch_motor_neuron,,,,,,,,,,SLPa&l1_lateral,,,,,,,,,,,,,,,,
,,,neck_roll_motor_neuron,,,,,,,,,,SLPad1_anterior,,,,,,,,,,,,,,,,
,,,neck_roll_pitch_motor_neuron,,,,,,,,,,SLPad1_posterior,,,,,,,,,,,,,,,,
,,,neck_yaw_motor_neuron,,,,,,,,,,SLPal1,,,,,,,,,,,,,,,,
,,,nervous_system_ensheathing_glia,,,,,,,,,,SLPal2,,,,,,,,,,,,,,,,
,,,neurohemal_complex_neurosecretory_cell,,,,,,,,,,SLPal3_and_SLPal4_dorsal,,,,,,,,,,,,,,,,
,,,NO_input,,,,,,,,,,SLPal5,,,,,,,,,,,,,,,,
,,,occipital_dorsal_bristle_neuron,,,,,,,,,,SLPav1_lateral,,,,,,,,,,,,,,,,
,,,ocellar_bristle_neuron,,,,,,,,,,SLPav1_medial,,,,,,,,,,,,,,,,
,,,ocellar_centrifugal_neuron,,,,,,,,,,SLPav2,,,,,,,,,,,,,,,,
,,,ocellar_intrinsic_neuron,,,,,,,,,,SLPav3,,,,,,,,,,,,,,,,
,,,ocellar_projection_neuron,,,,,,,,,,SLPp&v1_posterior,,,,,,,,,,,,,,,,
,,,optic_anterior,,,,,,,,,,SLPp&v1_ventral,,,,,,,,,,,,,,,,
,,,optic_lobe_intrinsic_centrifugal,,,,,,,,,,SLPpl1,,,,,,,,,,,,,,,,
,,,orbital_bristle_neuron,,,,,,,,,,SLPpl2,,,,,,,,,,,,,,,,
,,,PAM_dopaminergic_neuron,,,,,,,,,,SLPpl3,,,,,,,,,,,,,,,,
,,,PB_input,,,,,,,,,,SLPpm1,,,,,,,,,,,,,,,,
,,,PEG,,,,,,,,,,SLPpm2,,,,,,,,,,,,,,,,
,,,PEN,,,,,,,,,,SLPpm3,,,,,,,,,,,,,,,,
,,,PFG,,,,,,,,,,SLPpm4,,,,,,,,,,,,,,,,
,,,PFL,,,,,,,,,,SMPad1,,,,,,,,,,,,,,,,
,,,PFN,,,,,,,,,,SMPad2,,,,,,,,,,,,,,,,
,,,PFR,,,,,,,,,,SMPad3,,,,,,,,,,,,,,,,
,,,pharynx_internal_sensillum_tactile_neuron,,,,,,,,,,SMPp&v1_posterior,,,,,,,,,,,,,,,,
,,,pharynx_internal_taste_sensillum_gustatory_neuron,,,,,,,,,,SMPp&v1_ventral,,,,,,,,,,,,,,,,
,,,pharynx_motor_neuron,,,,,,,,,,SMPpd1,,,,,,,,,,,,,,,,
,,,pharynx_orphan_neuron,,,,,,,,,,SMPpd2,,,,,,,,,,,,,,,,
,,,photoreceptor_neuron,,,,,,,,,,SMPpm1,,,,,,,,,,,,,,,,
,,,postocellar_bristle_neuron,,,,,,,,,,SMPpv1,,,,,,,,,,,,,,,,
,,,postorbital_dorsal_bristle_neuron,,,,,,,,,,SMPpv2_dorsal,,,,,,,,,,,,,,,,
,,,postorbital_ventral_bristle_neuron,,,,,,,,,,SMPpv2_ventral,,,,,,,,,,,,,,,,
,,,PPL1_dopaminergic_neuron,,,,,,,,,,TRdl_a,,,,,,,,,,,,,,,,
,,,PPL2_dopaminergic_neuron,,,,,,,,,,TRdl_a__prim,,,,,,,,,,,,,,,,
,,,PPM_dopaminergic_neuron,,,,,,,,,,TRdl_b,,,,,,,,,,,,,,,,
,,,proboscis_motor_neuron,,,,,,,,,,TRdl_b__prim,,,,,,,,,,,,,,,,
,,,prosternal_hair_plate_neuron,,,,,,,,,,TRdm,,,,,,,,,,,,,,,,
,,,prothorax_neurosecretory_cell,,,,,,,,,,VESa1,,,,,,,,,,,,,,,,
,,,proximal_distal_medulla_tangential,,,,,,,,,,VESa2,,,,,,,,,,,,,,,,
,,,proximal_medulla,,,,,,,,,,VLPa1_lateral,,,,,,,,,,,,,,,,
,,,retina_photoreceptor_neuron,,,,,,,,,,VLPa1_medial,,,,,,,,,,,,,,,,
,,,retrocerebral_complex_neurosecretory_cell,,,,,,,,,,VLPa2,,,,,,,,,,,,,,,,
,,,salivary_motor_neuron,,,,,,,,,,VLPd&p1_dorsal,,,,,,,,,,,,,,,,
,,,serpentine_medulla,,,,,,,,,,VLPd&p1_posterior,,,,,,,,,,,,,,,,
,,,sex_peptide_sensory_neuron,,,,,,,,,,VLPd1,,,,,,,,,,,,,,,,
,,,single_leg_neuromere,,,,,,,,,,VLPl&d1_dorsal,,,,,,,,,,,,,,,,
,,,subesophageal_zone_neurosecretory_cell,,,,,,,,,,VLPl&d1_lateral,,,,,,,,,,,,,,,,
,,,thoracic_abdominal_segmental_motor_neuron,,,,,,,,,,VLPl&p1_lateral,,,,,,,,,,,,,,,,
,,,thorax_bristle_neuron,,,,,,,,,,VLPl&p1_posterior,,,,,,,,,,,,,,,,
,,,thorax_campaniform_sensillum_neuron,,,,,,,,,,VLPl&p2_lateral,,,,,,,,,,,,,,,,
,,,thorax_multidendritic_neuron,,,,,,,,,,VLPl&p2_posterior,,,,,,,,,,,,,,,,
,,,thorax_orphan_neuron,,,,,,,,,,VLPl1_or_VLPl5,,,,,,,,,,,,,,,,
,,,thorax_thoracic_abdominal_segmental_sensory_neuron,,,,,,,,,,VLPl2_lateral,,,,,,,,,,,,,,,,
,,,translobula_plate,,,,,,,,,,VLPl2_medial,,,,,,,,,,,,,,,,
,,,transmedullary,,,,,,,,,,VLPl2_posterior,,,,,,,,,,,,,,,,
,,,transmedullary_y,,,,,,,,,,VLPl4_anterior,,,,,,,,,,,,,,,,
,,,transverse_neuron,,,,,,,,,,VLPl4_dorsal,,,,,,,,,,,,,,,,
,,,tubercular_bulbar_neuron,,,,,,,,,,VLPp&l1__prim,,,,,,,,,,,,,,,,
,,,uniglomerular_projection_neuron,,,,,,,,,,VLPp&l1_anterior,,,,,,,,,,,,,,,,
,,,unknown_motor_neuron,,,,,,,,,,VLPp&l1_lateral,,,,,,,,,,,,,,,,
,,,unknown_orphan_neuron,,,,,,,,,,VLPp&l1_posterior,,,,,,,,,,,,,,,,
,,,unknown_thoracic_abdominal_motor_neuron,,,,,,,,,,VLPp1,,,,,,,,,,,,,,,,
,,,uterus_motor_neuron,,,,,,,,,,VLPp2,,,,,,,,,,,,,,,,
,,,vDelta,,,,,,,,,,VLPp2__prim,,,,,,,,,,,,,,,,
,,,ventral_nerve_cord_bilateral_interconnecting,,,,,,,,,,VPNd1,,,,,,,,,,,,,,,,
,,,ventral_nerve_cord_bilateral_restricted,,,,,,,,,,VPNd2,,,,,,,,,,,,,,,,
,,,ventral_nerve_cord_contralateral_interconnecting,,,,,,,,,,VPNd3,,,,,,,,,,,,,,,,
,,,ventral_nerve_cord_contralateral_restricted,,,,,,,,,,VPNl&d1_dorsal,,,,,,,,,,,,,,,,
,,,ventral_nerve_cord_ipsilateral_interconnecting,,,,,,,,,,VPNl&d1_lateral,,,,,,,,,,,,,,,,
,,,ventral_nerve_cord_ipsilateral_restricted,,,,,,,,,,VPNl&d1_medial_Lee,,,,,,,,,,,,,,,,
,,,ventral_nerve_cord_neurosecretory_cell,,,,,,,,,,VPNp&v1_posterior,,,,,,,,,,,,,,,,
,,,vibrissa_bristle_neuron,,,,,,,,,,VPNp&v1_ventral,,,,,,,,,,,,,,,,
,,,wedge_projection_neuron,,,,,,,,,,VPNp1_lateral,,,,,,,,,,,,,,,,
,,,wheelers_chordotonal_organ_neuron,,,,,,,,,,VPNp1_medial,,,,,,,,,,,,,,,,
,,,wing_base_campaniform_sensillum_neuron,,,,,,,,,,VPNp2,,,,,,,,,,,,,,,,
,,,wing_base_chordotonal_organ_neuron,,,,,,,,,,VPNp3,,,,,,,,,,,,,,,,
,,,wing_base_orphan_neuron,,,,,,,,,,VPNv1,,,,,,,,,,,,,,,,
,,,wing_campaniform_sensillum_neuron,,,,,,,,,,VPNv2,,,,,,,,,,,,,,,,
,,,wing_margin_bristle_neuron,,,,,,,,,,WEDa1,,,,,,,,,,,,,,,,
,,,wing_margin_taste_bristle_gustatory_neuron,,,,,,,,,,WEDa2,,,,,,,,,,,,,,,,
,,,wing_motor_neuron,,,,,,,,,,WEDd1,,,,,,,,,,,,,,,,
,,,wing_multidendritic_neuron,,,,,,,,,,WEDd2,,,,,,,,,,,,,,,,
,,,wing_neurosecretory_cell,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,wing_peripheral_intrinsic_neuron,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,wing_power_motor_neuron,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,wing_steering_motor_neuron,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,wing_tegula_campaniform_sensillum_neuron,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,wing_tegula_chordotonal_organ_neuron,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,wing_tegula_hair_plate_neuron,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,wing_tegula_orphan_neuron,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,wing_tension_motor_neuron,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,y_neuron,,,,,,,,,,,,,,,,,,,,,,,,,,
