id,UMAP1,UMAP2,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941527011865,-2.6802944053656907,23.710692786084227,76286316832161344,"124858, 197692, 4101",right,ventral_nerve_cord,ascending,05B,NA,NA,AN05B023,AN_AVLP_GNG_10,AN05B023,taste-touch,leg VNC
720575941527078681,4.234620917891756,17.31045093427759,76496460723988418,"130728, 168762, 3174",left,ventral_nerve_cord,ascending,09B,NA,NA,AN09B033,AN_multi_117,AN09B033,feeding,flange median bundle
720575941527175524,-21.708808075333334,-3.6655300628079823,76282811870362934,"123363, 92500, 3073",left,central_brain,descending,LB12,NA,NA,DNg03,DNg03,DNg03,reproduction,superior brain
720575941527231746,-6.073546062851652,22.618216894970946,76285423211198843,"124816, 171593, 3279",right,ventral_nerve_cord,ascending,09B,NA,NA,AN09B016,NA,AN09B016,taste-touch,lateral brain
720575941527232514,-2.4666060318000165,22.565734289990477,77054943777482977,"145881, 35851, 2766",right,ventral_nerve_cord,ascending,NA,NA,NA,ANXXX151,AN_multi_71,ANXXX151,taste-touch,lateral brain
720575941527245337,6.274499763106601,19.203256033764887,76351737036613951,"124932, 50734, 1526",right,ventral_nerve_cord,ascending,17A,NA,NA,AN17A002,AN_GNG_96,AN17A002,feeding,leg VNC
720575941527273316,-3.2510498870856606,16.758494757519777,76356135820470499,"125101, 180385, 4096",left,ventral_nerve_cord,ascending,05B,NA,NA,AN05B049,AN_GNG_62,AN05B049,reproduction,leg VNC
720575941527283366,-14.143032204056485,27.40264835249048,76848029433096966,"140365, 160621, 2798",right,ventral_nerve_cord,ascending,10B,NA,NA,AN10B039,AN_GNG_165,AN10B039,proprioceptive,leg VNC
720575941527343106,1.122287977790133,29.55878963361841,76071705503736337,"118543, 92500, 2569",left,ventral_nerve_cord,ascending,05B,NA,NA,AN05B069,AN_GNG_197,AN05B069,tactile,leg VNC
720575941527363330,-7.659614216232999,-15.22722587694067,76214436192889324,"121912, 151570, 3992",left,ventral_nerve_cord,ascending,06B,NA,NA,AN06B031,NA,AN06B031,flight power,dorsal VNC
720575941527484441,-10.818981300736171,15.642055891858154,76213954887966046,"120961, 138528, 2905",right,ventral_nerve_cord,ascending,NA,NA,NA,ANXXX109,AN_GNG_AMMC_1,ANXXX109,reproduction,leg VNC
720575941527544708,-8.608327518845304,11.45646324049097,76144685789895122,"119384, 170468, 3499",left,ventral_nerve_cord,ascending,NA,NA,NA,ANXXX027,AN_AVLP_PVLP_1,ANXXX027,reproduction,lateral brain
720575941527644600,-1.1072086800582255,13.966886900769293,76211549437761049,"122722, 66209, 1843",left,central_brain,descending,LB23,NA,NA,DNg57,DNg57,DNg57,reproduction,leg VNC
720575941527740418,-52.19558442726205,6.3427399624453145,76142074315525116,"118836, 92500, 2991",right,ventral_nerve_cord,ascending,09A,NA,NA,AN09A005,AN_GNG_204,auto:DNxn138,visceral control,abdominal VNC
720575941527745702,15.577137817000647,-37.246000863207755,76286385820632726,"123377, 199920, 5288",left,ventral_nerve_cord,ascending,19B,NA,NA,AN19B099,SA_DMT_DMetaN_6,AN19B099,flight steering 2,dorsal VNC
720575941527759641,-16.73809732093881,16.579707526074465,76702963087002143,"136477, 32064, 4408",left,central_brain,descending,SMPpm1,NA,NA,DNpe043,DNpe043,DNxn159,threat response,leg VNC
720575941527842148,-1.5880081762320841,29.812112234936766,76356066832874530,"126382, 179080, 3132",right,ventral_nerve_cord,ascending,09B,NA,NA,AN09B021,AN_GNG_AVLP_2,AN09B021,taste-touch,leg VNC
720575941527922598,-18.80552400245736,-25.038879967822023,75577749704185950,"104210, 52196, 1973",right,central_brain,descending,MX3,NA,NA,DNg08_b,DNg08_b,DNit003,flight power,dorsal VNC
720575941527933540,-0.036418985272153696,17.572650336133055,76496323150913398,"130574, 163872, 2708",left,ventral_nerve_cord,ascending,05B,NA,NA,AN05B027,AN_GNG_196,AN05B027,feeding,leg VNC
720575941527973508,3.23569475517203,57.63913097272976,76282811736272769,"123926, 92500, 2628",right,ventral_nerve_cord,ascending,12B,NA,NA,AN12B055,AN_GNG_127,AN12B055,tactile,leg VNC
720575941528001958,2.102144111251131,-35.769495583666746,76707086054707779,"136402, 153756, 3802",left,ventral_nerve_cord,ascending,07B,NA,NA,AN07B072,AN_GNG_175,AN07B072,head orienting,dorsal VNC
