matrix_index,id,is_seed,olfactory_influence_norm_unsigned_forward_steady_state
0,720575940596125868,False,0.0001645166247076733
1,720575940597856265,False,0.0006179283859662113
2,720575940597944841,False,0.00034640355170702003
3,720575940598267657,False,0.0002943535095163138
4,720575940599333574,False,0.00034269518832796657
5,720575940599457990,False,0.0001505946770965604
6,720575940599459782,False,0.00011513877122025355
7,720575940599704006,False,0.00015941279628140913
8,720575940599729862,False,0.00019008614109858476
9,720575940599733446,False,0.00015548890999972942
10,720575940599755718,False,0.00028249883051261317
11,720575940599763910,False,0.00015534896630384177
12,720575940599797164,False,0.00010779554127212355
13,720575940600071689,False,0.00014149152414127283
14,720575940600084489,False,0.00029793221166347195
15,720575940600101641,False,0.00023601210366145975
16,720575940600124169,False,0.00012183457778966336
17,720575940600143369,False,0.00028886189144542693
18,720575940600150793,False,0.00012260431777807914
19,720575940600322965,False,0.0
20,720575940600433181,False,0.0039047883664865904
21,720575940600547529,False,0.0002669178649598001
22,720575940600588204,False,0.0003736495029497305
23,720575940600623020,False,0.00012079452768965924
24,720575940600722348,False,0.000403616082588977
25,720575940600782252,False,0.00036168690287472594
26,720575940600850441,False,0.00023596369942092675
27,720575940600866569,False,0.00010022435495589827
28,720575940600934665,False,0.0001470794806104476
29,720575940601067436,False,0.00041371495247641835
30,720575940601103625,False,0.00018807146118650885
31,720575940601206499,False,0.00021864540056571764
32,720575940601263473,False,0.00020320732445613617
33,720575940601325484,False,0.00023873683226761344
34,720575940601412361,False,0.0007477562699939635
35,720575940601423625,False,0.0009872086950233512
36,720575940601598892,False,0.00036388079528976484
37,720575940601603185,False,0.00013532180715340194
38,720575940601653513,False,0.00010722930351763202
39,720575940601672201,False,0.00023215520191277928
40,720575940601712649,False,0.00024585523778299686
41,720575940601736201,False,0.0006593723168339535
42,720575940601867017,False,0.00029380467463245184
43,720575940602120928,False,0.003911498085980405
44,720575940602140862,False,0.0003291079715446439
45,720575941611266278,False,0.0011951431977809607
46,720575940602313952,False,0.00020234814440722295
47,720575941472752736,False,0.0012733608979315848
48,720575940602353632,False,0.0021138686095230046
49,720575940602380768,False,0.003497715403910948
50,720575941485313933,False,0.0027063045862365225
51,720575940602398473,False,0.0003585412400334225
52,720575940602401214,False,0.00029369133837279246
53,720575940602415584,False,0.023856940398678618
54,720575941468410123,False,0.0010965651224678205
55,720575941539588188,False,0.0019000570193626843
56,720575940602483424,False,0.0006906377536798329
57,720575940602497726,False,7.347108790305483e-05
58,720575941552290366,False,0.0012008635742966573
59,720575940602553568,False,0.029994744165358224
60,720575940602564320,False,0.35663304827083425
61,720575940602572768,False,0.00022682258903643953
62,720575940602577598,False,9.004251193925007e-05
63,720575940602605536,False,0.3001699969446635
64,720575940602618848,False,0.04239725802556142
65,720575940602619249,False,0.00012302294633764893
66,720575941470602103,False,0.0022647186793012496
67,720575940602718432,False,0.01186570758664893
68,720575940602737598,False,0.00011895408640309194
69,720575940602747360,False,0.01142311204580111
70,720575940602783968,False,0.006184442686962933
71,720575940602790610,False,0.00019270725142645469
72,720575940602800608,False,0.008315828809716728
73,720575940602815200,False,0.1835055133531422
74,720575940602829536,False,0.0035913303009688013
75,720575940602831328,False,0.012584948759627216
76,720575940602849248,False,0.16780672856154633
77,720575940602857440,False,0.0009132861456065343
78,720575940602857696,False,0.0001649731657542865
79,720575940602858464,False,0.00021086773846930768
80,720575941638990709,False,0.0015259077373790662
81,720575940602879404,False,0.004159065942999236
82,720575940602880736,False,0.000205480544950532
83,720575940602885344,False,0.0025078491406018005
84,720575940602891232,False,0.0026837755522901075
85,720575940602914988,False,0.002321030152396638
86,720575940602917088,False,0.0027017677758634246
87,720575940602920364,False,0.010590775497269375
88,720575940602922976,False,0.00021257493701434458
89,720575940602928608,False,0.00018074309755903065
90,720575940602943968,False,0.0005496519985899524
91,720575940602964140,False,0.002376764183670885
92,720575940602974688,False,0.004820626023422921
93,720575940602977248,False,0.5922353978227001
94,720575940603011808,False,0.0039504830220403655
95,720575940603012832,False,0.0036093283780649567
96,720575940603022304,False,0.00014180067959714202
97,720575940603029472,False,0.004723603168447859
98,720575940603032748,False,0.015101443192632588
99,720575940603042272,False,0.00044126341311642486
100,720575940603045804,False,0.004141413803860802
101,720575940603048108,False,0.009245717545888243
102,720575940603050668,False,0.2894854412524664
103,720575940603067360,False,0.0007094634260337318
104,720575940603077600,False,0.00028395427768335255
105,720575940603084972,False,0.2574033459338517
106,720575940603094700,False,0.004510429279824782
107,720575940603111392,False,0.32891207807573575
108,720575940603117996,False,0.014283923653283938
109,720575940603121888,False,0.04143327119629253
110,720575940603123936,False,0.00372281453308812
111,720575940603125216,False,0.003564633062022542
112,720575940603152998,False,0.027511672644165534
113,720575940603167916,False,0.062062485916879934
114,720575940603174368,False,0.17576556116435255
115,720575940603174572,False,0.0024499571450166675
116,720575940603176049,False,9.55929250637636e-05
117,720575940603183840,False,0.0029068373699771863
118,720575940603186790,False,0.00272198212957623
119,720575940603195494,False,0.007878827476506775
120,720575940603197408,False,0.010485347771467824
121,720575940603200428,False,0.000573270048623167
122,720575940603201452,False,0.008043333053286198
123,720575940603215532,False,0.0006357691000542523
124,720575940603225312,False,0.0005743973708065276
125,720575940603233248,False,0.08243700030474982
126,720575940603235500,False,0.0038821861607396826
127,720575940603238828,False,0.00883017370359156
128,720575940603240876,False,0.005585595803483823
129,720575940603250860,False,0.007945471117236275
130,720575940603268064,False,0.009880059479787108
131,720575940603268780,False,0.00029768599583081907
132,720575940603272038,False,0.00047466841192780624
133,720575940603279648,False,0.01556990285880879
134,720575940603295200,False,0.00031717538428655993
135,720575940603314144,False,0.0002875718099906637
136,720575940603314656,False,0.0002528006430799715
137,720575940603317216,False,0.4197329176577632
138,720575940603318240,False,0.00022741961853294906
139,720575940603327916,False,0.0003942641381910352
140,720575940603331686,False,0.013216323961761313
141,720575940603333804,False,0.00024440731598860934
142,720575940603338156,False,0.0003853226309992374
143,720575940603339232,False,0.00014646717619042445
144,720575940603349216,False,0.000214160364253183
145,720575940603352748,False,0.004812640709840299
146,720575940603356128,True,1.5845835049295292
147,720575940603365980,False,0.00013628454942977004
148,720575940603366112,False,0.0008286854858438235
149,720575940603372460,False,0.0008055897498478545
150,720575940603373916,False,0.00012606702281187625
151,720575941498736034,False,0.0011313466731869394
152,720575940603379168,False,0.00015906537358538738
153,720575940603383008,False,0.00020963904403100924
154,720575940603384748,False,0.00023667740665177624
155,720575940603390380,False,0.00028250264723326987
156,720575940603391404,False,0.0007764715855090289
157,720575940603391712,False,0.00021684959089499783
158,720575940603391778,False,0.0002141288431283034
159,720575940603392546,False,0.00029732809144766023
160,720575940603394272,False,0.00014264410057498634
161,720575940603397088,False,0.0004270621219661719
162,720575940603402412,False,0.00024772361923199905
163,720575940603404834,False,0.00022053377570857292
164,720575940603407328,False,0.0001976805756129439
165,720575940603408608,False,3.405202204919048e-05
166,720575940603409632,False,0.009221682798973887
167,720575940603435232,False,0.00039089915557497586
168,720575940603439020,False,0.0013433722124804137
169,720575940603441632,False,0.003525611084932569
170,720575940603446118,False,0.00046016309752649885
171,720575940603446374,False,0.0752411255461853
172,720575940603452384,False,0.0004744809271457907
173,720575940603453286,False,0.20354419812943608
174,720575940603455846,False,0.42264516064753627
175,720575940603457760,False,0.00011970332910028536
176,720575941392278678,False,0.0004458312502999707
177,720575940603471811,False,0.0002926575870416192
178,720575940603472608,False,0.0003347571910191863
179,720575940603472864,False,0.00043342076942201753
180,720575941451737927,False,0.00422119505862747
181,720575940603487456,False,0.000249653570294763
182,720575940603491957,False,0.00026563997881134125
183,720575940603492012,False,0.23166602738032718
184,720575940603495340,False,0.0005471823612212065
185,720575940603495648,False,0.00021471551203129435
186,720575940603497184,False,0.0005949956469151021
187,720575940603498357,False,0.00024402781071149838
188,720575940603498613,False,0.00031414436680257316
189,720575940603498869,False,0.00023251124643089216
190,720575940603501024,False,0.00023466536920024717
191,720575940603507302,False,0.017416889150587075
192,720575940603507372,False,0.018592941662828804
193,720575940603514141,False,0.0035011993267511496
194,720575940603520172,False,0.06905246459294238
195,720575940603526005,False,0.00031139252196613645
196,720575940603530464,False,0.00010506920302486911
197,720575940603533246,False,0.004611029279331606
198,720575940603538348,False,0.00045383586981661287
199,720575940603539424,False,0.002252828118538317
200,720575940603544363,False,0.00023923305050644635
201,720575941525890148,False,0.0018205791492619063
202,720575940603548640,False,0.012113806258178948
203,720575940603549152,False,0.009007831847142345
204,720575940603549868,False,0.0015851746390628388
205,720575940603552736,False,0.0002631651208563809
206,720575940603556198,False,0.15759650670244352
207,720575940603556981,False,0.00026817330700010147
208,720575940603557920,False,0.00026425717506746026
209,720575940603563893,False,0.0002224905460832003
210,720575940603565856,False,0.004827176881962304
