node,layer_mean,root_id
2,5.481927710843373,720575940596125868
3,4.945783132530121,720575940597856265
4,4.698795180722891,720575940597944841
5,4.933734939759036,720575940598267657
6,3.9939759036144578,720575940599333574
7,4.4397590361445785,720575940599457990
8,4.710843373493976,720575940599459782
9,4.867469879518072,720575940599704006
10,5.120481927710843,720575940599729862
11,4.909638554216867,720575940599733446
12,1.0,720575940599738284
13,4.373493975903615,720575940599755718
14,4.5120481927710845,720575940599763910
15,5.86144578313253,720575940599797164
16,4.626506024096385,720575940600071689
17,4.078313253012048,720575940600084489
18,4.5120481927710845,720575940600101641
19,4.596385542168675,720575940600124169
20,4.536144578313253,720575940600143369
21,5.096385542168675,720575940600150793
23,4.963855421686747,720575940600547529
24,4.174698795180723,720575940600588204
25,4.644578313253012,720575940600623020
27,3.5060240963855422,720575940600722348
28,4.710843373493976,720575940600782252
29,4.295180722891566,720575940600850441
30,4.753012048192771,720575940600866569
31,4.4156626506024095,720575940600934665
32,1.0,720575940601049097
33,4.572289156626506,720575940601067436
34,4.403614457831325,720575940601103625
35,4.355421686746988,720575940601206499
36,5.054216867469879,720575940601263473
37,3.825301204819277,720575940601325484
38,5.5843373493975905,720575940601412361
39,5.506024096385542,720575940601423625
40,4.4156626506024095,720575940601566217
41,4.22289156626506,720575940601568777
42,5.22289156626506,720575940601598892
43,5.891566265060241,720575940601603185
44,4.271084337349397,720575940601653513
45,4.548192771084337,720575940601672201
46,4.626506024096385,720575940601712649
47,4.554216867469879,720575940601736201
48,5.066265060240964,720575940601867017
49,7.180722891566265,720575940602090976
50,7.445783132530121,720575940602120928
52,5.475903614457831,720575940602140862
54,7.716867469879518,720575940602309600
55,7.27710843373494,720575940602313952
56,7.246987951807229,720575940602337504
58,8.132530120481928,720575940602380768
59,7.789156626506024,720575940602382304
60,4.975903614457831,720575940602398473
61,4.475903614457831,720575940602401214
62,8.08433734939759,720575940602415584
63,7.289156626506024,720575940602430944
64,7.548192771084337,720575940602444512
65,7.403614457831325,720575940602447328
66,5.614457831325301,720575940602483424
67,4.680722891566265,720575940602497726
69,7.5120481927710845,720575940602534112
70,8.831325301204819,720575940602553568
71,8.512048192771084,720575940602564320
72,5.22289156626506,720575940602572768
73,4.524096385542169,720575940602577598
74,8.5,720575940602605536
75,7.481927710843373,720575940602618848
76,4.5120481927710845,720575940602619249
77,5.126506024096385,720575940602677617
78,7.831325301204819,720575940602703072
79,7.289156626506024,720575940602718432
81,8.180722891566266,720575940602728364
82,4.451807228915663,720575940602737598
83,8.331325301204819,720575940602747360
84,7.144578313253012,720575940602783968
85,4.734939759036145,720575940602790610
86,8.367469879518072,720575940602800608
87,8.94578313253012,720575940602815200
88,6.22289156626506,720575940602829536
89,8.566265060240964,720575940602831328
90,8.626506024096386,720575940602849248
91,4.626506024096385,720575940602857440
92,2.3674698795180724,720575940602857696
93,4.981927710843373,720575940602858464
94,5.325301204819277,720575940602862560
95,7.048192771084337,720575940602864300
96,7.945783132530121,720575940602879404
97,4.72289156626506,720575940602880736
98,7.072289156626506,720575940602885344
99,7.518072289156627,720575940602891232
100,7.433734939759036,720575940602893228
101,8.337349397590362,720575940602914988
102,7.391566265060241,720575940602917088
103,8.379518072289157,720575940602920364
104,5.385542168674699,720575940602922976
105,4.144578313253012,720575940602928608
