node,layer_mean,root_id
2,5.674698795180723,720575940596125868
3,5.126506024096385,720575940597856265
4,5.36144578313253,720575940597944841
5,4.885542168674699,720575940598267657
6,5.403614457831325,720575940599333574
7,5.283132530120482,720575940599457990
8,5.518072289156627,720575940599459782
9,5.4879518072289155,720575940599704006
10,5.692771084337349,720575940599729862
11,5.668674698795181,720575940599733446
13,5.451807228915663,720575940599755718
14,5.620481927710843,720575940599763910
15,5.855421686746988,720575940599797164
16,5.325301204819277,720575940600071689
17,5.228915662650603,720575940600084489
18,5.614457831325301,720575940600101641
19,5.421686746987952,720575940600124169
20,5.662650602409639,720575940600143369
21,5.572289156626506,720575940600150793
23,5.355421686746988,720575940600547529
24,5.674698795180723,720575940600588204
25,5.819277108433735,720575940600623020
27,5.63855421686747,720575940600722348
28,5.481927710843373,720575940600782252
29,5.542168674698795,720575940600850441
30,5.475903614457831,720575940600866569
31,5.656626506024097,720575940600934665
33,5.596385542168675,720575940601067436
34,5.475903614457831,720575940601103625
35,5.63855421686747,720575940601206499
36,5.240963855421687,720575940601263473
37,5.9156626506024095,720575940601325484
38,5.168674698795181,720575940601412361
39,5.198795180722891,720575940601423625
40,5.746987951807229,720575940601566217
41,5.686746987951807,720575940601568777
42,5.457831325301205,720575940601598892
43,5.63855421686747,720575940601603185
44,5.578313253012048,720575940601653513
45,5.295180722891566,720575940601672201
46,5.72289156626506,720575940601712649
47,5.090361445783133,720575940601736201
48,5.614457831325301,720575940601867017
49,3.63855421686747,720575940602090976
50,3.1626506024096384,720575940602120928
52,4.921686746987952,720575940602140862
54,1.0,720575940602309600
55,2.1144578313253013,720575940602313952
56,1.0,720575940602337504
58,2.753012048192771,720575940602380768
59,1.0,720575940602382304
60,5.783132530120482,720575940602398473
61,5.662650602409639,720575940602401214
62,3.7710843373493974,720575940602415584
63,1.0,720575940602430944
64,1.0,720575940602444512
65,1.0,720575940602447328
66,4.837349397590361,720575940602483424
67,5.608433734939759,720575940602497726
69,2.3373493975903616,720575940602534112
70,6.108433734939759,720575940602553568
71,5.9397590361445785,720575940602564320
72,5.765060240963855,720575940602572768
73,5.5120481927710845,720575940602577598
74,6.198795180722891,720575940602605536
75,4.006024096385542,720575940602618848
76,5.753012048192771,720575940602619249
77,5.024096385542169,720575940602677617
78,1.0,720575940602703072
79,3.325301204819277,720575940602718432
81,2.8855421686746987,720575940602728364
82,5.403614457831325,720575940602737598
83,5.186746987951807,720575940602747360
84,5.457831325301205,720575940602783968
85,5.524096385542169,720575940602790610
86,5.174698795180723,720575940602800608
87,5.644578313253012,720575940602815200
88,4.9879518072289155,720575940602829536
89,5.421686746987952,720575940602831328
90,4.765060240963855,720575940602849248
91,5.048192771084337,720575940602857440
92,6.126506024096385,720575940602857696
93,5.530120481927711,720575940602858464
94,4.969879518072289,720575940602862560
95,2.3132530120481927,720575940602864300
96,2.8373493975903616,720575940602879404
97,5.403614457831325,720575940602880736
98,2.6566265060240966,720575940602885344
99,2.7289156626506026,720575940602891232
100,1.0,720575940602893228
101,3.13855421686747,720575940602914988
102,5.102409638554217,720575940602917088
103,5.319277108433735,720575940602920364
104,5.590361445783133,720575940602922976
105,5.728915662650603,720575940602928608
106,4.993975903614458,720575940602943968
107,1.0,720575940602953388
108,2.4096385542168677,720575940602964140
109,3.5481927710843375,720575940602974688
110,5.626506024096385,720575940602977248
111,5.524096385542169,720575940602996448
112,4.22289156626506,720575940603011808
113,2.608433734939759,720575940603012832
114,4.891566265060241,720575940603022304
116,3.9096385542168677,720575940603032748
117,5.548192771084337,720575940603042272
118,5.289156626506024,720575940603045804
119,5.054216867469879,720575940603048108
120,5.771084337349397,720575940603050668
121,5.283132530120482,720575940603067360
122,5.27710843373494,720575940603077600
123,5.018072289156627,720575940603082720
124,6.024096385542169,720575940603084972
125,5.831325301204819,720575940603094700
126,6.006024096385542,720575940603111392
127,3.2650602409638556,720575940603114464
128,4.4156626506024095,720575940603117996
129,4.13855421686747,720575940603121888
130,3.6927710843373496,720575940603123936
131,2.63855421686747,720575940603125216
132,3.3674698795180724,720575940603144416
133,3.7771084337349397,720575940603152998
134,2.6144578313253013,720575940603167916
135,6.102409638554217,720575940603174368
136,4.397590361445783,720575940603174572
137,5.554216867469879,720575940603176049
139,3.0481927710843375,720575940603186790
140,5.180722891566265,720575940603195421
141,3.6626506024096384,720575940603195494
142,5.259036144578313,720575940603197408
144,5.210843373493976,720575940603200428
145,3.427710843373494,720575940603201452
146,4.433734939759036,720575940603204576
147,4.042168674698795,720575940603208928
148,5.77710843373494,720575940603215532
149,5.518072289156627,720575940603225312
150,5.608433734939759,720575940603231916
151,5.0602409638554215,720575940603233248
152,2.6987951807228914,720575940603235500
153,5.096385542168675,720575940603238828
154,4.4879518072289155,720575940603240876
155,5.403614457831325,720575940603245996
156,2.9939759036144578,720575940603250860
157,3.0301204819277108,720575940603252396
159,5.716867469879518,720575940603268064
160,5.596385542168675,720575940603268780
161,4.807228915662651,720575940603272038
162,3.8132530120481927,720575940603274272
163,4.433734939759036,720575940603279648
164,5.343373493975903,720575940603295200
165,5.174698795180723,720575940603304416
166,5.319277108433735,720575940603314144
167,5.759036144578313,720575940603314656
168,5.801204819277109,720575940603317216
169,5.210843373493976,720575940603318240
170,5.578313253012048,720575940603327916
171,3.7951807228915664,720575940603331686
172,5.698795180722891,720575940603333804
173,5.650602409638554,720575940603338156
174,5.746987951807229,720575940603339232
175,5.728915662650603,720575940603349216
176,5.837349397590361,720575940603350240
177,3.4518072289156625,720575940603352748
179,5.710843373493976,720575940603356896
180,5.240963855421687,720575940603365980
181,5.867469879518072,720575940603366112
182,5.463855421686747,720575940603372460
183,5.445783132530121,720575940603373916
184,1.0,720575940603374624
185,5.77710843373494,720575940603379168
186,5.680722891566265,720575940603383008
187,5.4397590361445785,720575940603384748
188,5.771084337349397,720575940603390380
189,5.0,720575940603391404
190,5.578313253012048,720575940603391712
191,5.686746987951807,720575940603391778
192,5.608433734939759,720575940603392546
193,5.596385542168675,720575940603394272
194,5.391566265060241,720575940603397088
195,5.22289156626506,720575940603402412
196,5.530120481927711,720575940603404834
197,5.379518072289157,720575940603406816
198,5.566265060240964,720575940603407328
199,5.867469879518072,720575940603408608
200,4.9879518072289155,720575940603409632
202,5.427710843373494,720575940603435232
203,3.427710843373494,720575940603439020
204,5.734939759036145,720575940603440245
205,2.1566265060240966,720575940603441632
206,1.0,720575940603446118
207,4.313253012048193,720575940603446374
208,5.319277108433735,720575940603452384
209,5.548192771084337,720575940603453286
210,1.0,720575940603453542
211,5.445783132530121,720575940603455846
212,1.0,720575940603456288
213,5.186746987951807,720575940603457760
214,1.0,720575940603460640
215,1.0,720575940603461478
216,5.807228915662651,720575940603464672
217,5.162650602409639,720575940603467488
218,5.554216867469879,720575940603471811
219,5.5602409638554215,720575940603472608
220,4.783132530120482,720575940603472864
221,1.0,720575940603479910
222,5.403614457831325,720575940603487456
223,4.981927710843373,720575940603487712
224,3.7349397590361444,720575940603489824
225,5.481927710843373,720575940603491957
226,5.566265060240964,720575940603492012
227,5.192771084337349,720575940603495340
228,5.5,720575940603495648
229,4.837349397590361,720575940603497184
230,5.5843373493975905,720575940603498357
231,5.530120481927711,720575940603498613
232,5.283132530120482,720575940603498869
233,5.409638554216867,720575940603501024
234,5.397590361445783,720575940603505068
235,3.3373493975903616,720575940603507302
236,4.379518072289157,720575940603507372
237,1.0,720575940603511584
238,3.2409638554216866,720575940603514141
239,1.0,720575940603516006
240,5.921686746987952,720575940603520172
241,5.734939759036145,720575940603520992
242,5.385542168674699,720575940603526005
243,5.704819277108434,720575940603530464
244,2.6506024096385543,720575940603533246
245,1.0,720575940603537766
246,5.397590361445783,720575940603538348
247,4.27710843373494,720575940603538860
248,3.9397590361445785,720575940603539424
249,5.704819277108434,720575940603544363
250,1.0,720575940603545190
251,4.259036144578313,720575940603548640
252,3.9457831325301207,720575940603549152
253,5.210843373493976,720575940603549868
254,5.397590361445783,720575940603552736
255,4.481927710843373,720575940603556198
256,5.391566265060241,720575940603556981
257,5.204819277108434,720575940603557920
258,5.481927710843373,720575940603563893
259,4.210843373493976,720575940603565856
260,5.548192771084337,720575940603568757
261,2.4759036144578315,720575940603569836
263,1.0,720575940603574374
264,5.445783132530121,720575940603578848
265,3.355421686746988,720575940603579616
266,3.036144578313253,720575940603580960
267,4.9879518072289155,720575940603587500
268,4.596385542168675,720575940603590246
269,2.825301204819277,720575940603591014
270,1.0,720575940603595366
271,3.8433734939759034,720575940603596972
272,1.0,720575940603599206
273,1.0,720575940603600230
274,5.590361445783133,720575940603604258
275,1.0,720575940603605024
276,5.427710843373494,720575940603605538
277,4.114457831325301,720575940603609004
278,4.475903614457831,720575940603609824
279,3.3855421686746987,720575940603616800
280,5.542168674698795,720575940603618494
