node,layer_mean,root_id
2,4.054216867469879,720575940596125868
3,3.2771084337349397,720575940597856265
4,3.433734939759036,720575940597944841
5,3.5602409638554215,720575940598267657
6,4.536144578313253,720575940599333574
7,4.072289156626506,720575940599457990
8,4.301204819277109,720575940599459782
9,4.108433734939759,720575940599704006
10,4.271084337349397,720575940599729862
11,4.0602409638554215,720575940599733446
13,4.018072289156627,720575940599755718
14,4.343373493975903,720575940599763910
15,4.0843373493975905,720575940599797164
16,4.036144578313253,720575940600071689
17,4.174698795180723,720575940600084489
18,3.897590361445783,720575940600101641
19,4.120481927710843,720575940600124169
20,4.156626506024097,720575940600143369
21,3.7048192771084336,720575940600150793
22,1.0,720575940600433181
23,3.710843373493976,720575940600547529
24,3.6506024096385543,720575940600588204
25,4.210843373493976,720575940600623020
26,1.0,720575940600646173
27,3.5421686746987953,720575940600722348
28,4.283132530120482,720575940600782252
29,4.319277108433735,720575940600850441
30,4.072289156626506,720575940600866569
31,3.9156626506024095,720575940600934665
33,3.1626506024096384,720575940601067436
34,3.927710843373494,720575940601103625
35,4.042168674698795,720575940601206499
36,4.102409638554217,720575940601263473
37,3.4518072289156625,720575940601325484
38,2.783132530120482,720575940601412361
39,2.8674698795180724,720575940601423625
40,3.5783132530120483,720575940601566217
41,3.4819277108433737,720575940601568777
42,4.349397590361446,720575940601598892
43,3.7710843373493974,720575940601603185
44,4.548192771084337,720575940601653513
45,4.048192771084337,720575940601672201
46,3.9096385542168677,720575940601712649
47,3.4879518072289155,720575940601736201
48,3.4518072289156625,720575940601867017
49,3.1325301204819276,720575940602090976
50,2.8072289156626504,720575940602120928
51,1.0,720575940602132509
52,4.162650602409639,720575940602140862
54,1.0,720575940602309600
55,2.13855421686747,720575940602313952
56,1.0,720575940602337504
57,1.0,720575940602353632
58,2.6867469879518073,720575940602380768
59,1.0,720575940602382304
60,3.933734939759036,720575940602398473
61,4.0,720575940602401214
62,3.216867469879518,720575940602415584
63,1.0,720575940602430944
64,1.0,720575940602444512
65,1.0,720575940602447328
66,1.0,720575940602483424
67,4.186746987951807,720575940602497726
68,1.0,720575940602506208
69,2.3433734939759034,720575940602534112
70,4.0,720575940602553568
71,3.3795180722891565,720575940602564320
72,3.86144578313253,720575940602572768
73,4.102409638554217,720575940602577598
74,3.4879518072289155,720575940602605536
75,3.4518072289156625,720575940602618848
76,4.331325301204819,720575940602619249
77,3.9216867469879517,720575940602677617
78,1.0,720575940602703072
79,2.6867469879518073,720575940602718432
80,1.0,720575940602720940
81,2.602409638554217,720575940602728364
82,4.108433734939759,720575940602737598
83,4.897590361445783,720575940602747360
84,4.162650602409639,720575940602783968
85,4.313253012048193,720575940602790610
86,4.843373493975903,720575940602800608
87,3.5602409638554215,720575940602815200
88,2.0421686746987953,720575940602829536
89,4.897590361445783,720575940602831328
90,3.3855421686746987,720575940602849248
91,3.0,720575940602857440
92,4.403614457831325,720575940602857696
93,3.746987951807229,720575940602858464
94,2.5060240963855422,720575940602862560
95,2.2228915662650603,720575940602864300
96,2.6987951807228914,720575940602879404
97,3.8855421686746987,720575940602880736
98,2.5180722891566263,720575940602885344
99,2.566265060240964,720575940602891232
100,1.0,720575940602893228
101,2.9397590361445785,720575940602914988
102,4.656626506024097,720575940602917088
103,4.867469879518072,720575940602920364
104,4.108433734939759,720575940602922976
105,4.259036144578313,720575940602928608
106,3.6144578313253013,720575940602943968
107,1.0,720575940602953388
108,2.4819277108433737,720575940602964140
109,2.9698795180722892,720575940602974688
110,3.108433734939759,720575940602977248
111,1.0,720575940602996448
112,1.0,720575940603011808
113,2.6325301204819276,720575940603012832
114,3.9578313253012047,720575940603022304
115,1.0,720575940603029472
116,3.325301204819277,720575940603032748
117,4.253012048192771,720575940603042272
118,2.1987951807228914,720575940603045804
119,4.734939759036145,720575940603048108
120,3.3674698795180724,720575940603050668
121,1.0,720575940603067360
122,1.0,720575940603077600
123,3.0602409638554215,720575940603082720
124,3.5481927710843375,720575940603084972
125,3.9939759036144578,720575940603094700
126,3.3012048192771086,720575940603111392
127,2.9819277108433737,720575940603114464
128,2.819277108433735,720575940603117996
129,3.6867469879518073,720575940603121888
130,2.8072289156626504,720575940603123936
131,2.5542168674698793,720575940603125216
132,3.2409638554216866,720575940603144416
133,2.8855421686746987,720575940603152998
134,2.536144578313253,720575940603167916
135,3.789156626506024,720575940603174368
136,1.0,720575940603174572
137,4.150602409638554,720575940603176049
138,1.0,720575940603183840
139,3.036144578313253,720575940603186790
140,2.783132530120482,720575940603195421
141,2.427710843373494,720575940603195494
142,3.9518072289156625,720575940603197408
143,1.0,720575940603198432
144,4.397590361445783,720575940603200428
145,3.0240963855421685,720575940603201452
