node,layer_mean,root_id
2,9.018072289156626,720575940596125868
3,8.03012048192771,720575940597856265
4,8.325301204819278,720575940597944841
5,8.578313253012048,720575940598267657
6,9.13855421686747,720575940599333574
7,8.626506024096386,720575940599457990
8,9.072289156626505,720575940599459782
9,8.993975903614459,720575940599704006
10,9.114457831325302,720575940599729862
11,9.114457831325302,720575940599733446
13,8.819277108433734,720575940599755718
14,9.102409638554217,720575940599763910
15,8.987951807228916,720575940599797164
16,9.0,720575940600071689
17,8.620481927710843,720575940600084489
18,8.873493975903614,720575940600101641
19,8.939759036144578,720575940600124169
20,8.933734939759036,720575940600143369
21,9.006024096385541,720575940600150793
23,8.795180722891565,720575940600547529
24,8.53012048192771,720575940600588204
25,9.03012048192771,720575940600623020
27,8.560240963855422,720575940600722348
28,8.77710843373494,720575940600782252
29,8.831325301204819,720575940600850441
30,9.048192771084338,720575940600866569
31,8.891566265060241,720575940600934665
33,8.487951807228916,720575940601067436
34,8.993975903614459,720575940601103625
35,8.96987951807229,720575940601206499
36,8.704819277108435,720575940601263473
37,8.421686746987952,720575940601325484
38,8.325301204819278,720575940601412361
39,8.0,720575940601423625
40,8.44578313253012,720575940601566217
41,8.132530120481928,720575940601568777
42,8.716867469879517,720575940601598892
43,8.80722891566265,720575940601603185
44,9.180722891566266,720575940601653513
45,8.716867469879517,720575940601672201
46,8.94578313253012,720575940601712649
47,8.30722891566265,720575940601736201
48,8.295180722891565,720575940601867017
49,6.343373493975903,720575940602090976
50,6.4156626506024095,720575940602120928
52,8.74698795180723,720575940602140862
54,7.427710843373494,720575940602309600
55,7.698795180722891,720575940602313952
56,7.120481927710843,720575940602337504
58,6.885542168674699,720575940602380768
59,6.036144578313253,720575940602382304
60,8.891566265060241,720575940602398473
61,8.91566265060241,720575940602401214
62,5.650602409638554,720575940602415584
63,6.843373493975903,720575940602430944
64,7.578313253012048,720575940602444512
65,7.590361445783133,720575940602447328
66,8.018072289156626,720575940602483424
67,8.94578313253012,720575940602497726
69,7.77710843373494,720575940602534112
70,4.22289156626506,720575940602553568
71,3.5240963855421685,720575940602564320
72,8.831325301204819,720575940602572768
73,9.012048192771084,720575940602577598
74,3.4759036144578315,720575940602605536
75,5.301204819277109,720575940602618848
76,8.728915662650602,720575940602619249
77,8.24698795180723,720575940602677617
78,6.668674698795181,720575940602703072
79,6.216867469879518,720575940602718432
81,6.295180722891566,720575940602728364
82,8.933734939759036,720575940602737598
83,6.4397590361445785,720575940602747360
84,7.759036144578313,720575940602783968
85,9.090361445783133,720575940602790610
86,6.927710843373494,720575940602800608
87,3.6626506024096384,720575940602815200
88,5.27710843373494,720575940602829536
89,6.331325301204819,720575940602831328
90,3.4578313253012047,720575940602849248
91,7.867469879518072,720575940602857440
92,9.397590361445783,720575940602857696
93,8.879518072289157,720575940602858464
94,8.162650602409638,720575940602862560
95,7.620481927710843,720575940602864300
96,6.740963855421687,720575940602879404
97,8.765060240963855,720575940602880736
98,7.144578313253012,720575940602885344
99,6.680722891566265,720575940602891232
100,7.819277108433735,720575940602893228
101,7.228915662650603,720575940602914988
