doc_md,filename,local_path,gcs_path,dataverse_filename,size_bytes,size_human,nrows,ncols,directoryLabel,categories,restrict,tabIngest,description_chars
neck_connective_y92500.md,neck_connective_y92500.parquet,,gs://lee-lab_brain-and-nerve-cord-fly-connectome/neuron_annotations/v888/neck_connective_y92500.parquet,,139052,135.79 KB,3652,8,annotations/v888,"Annotations,Data",False,False,1075
neuroglancer_states.md,neuroglancer_states_2026a.zip,/Users/papers/BANC-project/manuscript/print/neuroglancer_states/2026a,,,6710886,,,,neuroglancer_states,"Documentation,Data",False,False,638
peripheral_nerves.md,peripheral_nerves.parquet,,gs://lee-lab_brain-and-nerve-cord-fly-connectome/neuron_annotations/v888/peripheral_nerves.parquet,,629173,614.43 KB,15615,8,annotations/v888,"Annotations,Data",False,False,1048
proofreading_notes.md,proofreading_notes.parquet,,gs://lee-lab_brain-and-nerve-cord-fly-connectome/neuron_annotations/v888/proofreading_notes.parquet,,857667,837.57 KB,21614,9,annotations/v888,"Annotations,Data",False,False,1006
registration_brain_jrc2018f.md,registration_brain_jrc2018f.zip,,gs://lee-lab_brain-and-nerve-cord-fly-connectome/registrations/brain_240721/,,19656147,,,,registrations,"Data,Registration",False,False,750
registration_vnc_jrc2018vncf.md,registration_vnc_jrc2018vncf.zip,,gs://lee-lab_brain-and-nerve-cord-fly-connectome/registrations/vnc_240721/,,71237061,,,,registrations,"Data,Registration",False,False,689
requirements.md,requirements.txt,/Users/papers/BANC-project/requirements.txt,,,7719,,,,documentation,Documentation,False,False,894
somas_v1.md,somas_v1.parquet,,gs://lee-lab_brain-and-nerve-cord-fly-connectome/neuron_annotations/v888/somas_v1.parquet,,5350459,5.10 MB,153892,7,annotations/v888,"Annotations,Data",False,False,1098
synapse_neuropil_lookup_v2.md,synapse_neuropil_lookup_v2.parquet,,gs://lee-lab_brain-and-nerve-cord-fly-connectome/synapses/v2.0/synapse_neuropil_lookup_v2.parquet,,2093290134,1.95 GB,213762397,4,synapses/v2.0,"Data,Synapses",False,False,748
synapse_neuropil_lookup_v3.md,synapse_neuropil_lookup_v3.parquet,,gs://lee-lab_brain-and-nerve-cord-fly-connectome/synapses/v3.0/synapse_neuropil_lookup_v3.parquet,,2386313119,2.22 GB,259393451,4,synapses/v3.0,"Data,Synapses",False,False,601
synister_banc_archive.md,synister_banc_archive.zip,,,,,,,,code,Code,False,False,940
the_banc_fly_connectome_archive.md,the_banc_fly_connectome_archive.zip,,,,,,,,code,Code,False,False,1249
