UMAP1,UMAP2,id,top_nt,side,region,super_class,hemilineage,cell_function,nerve,composite_cell_type,cell_class,cell_sub_class,cell_type,fafb_cell_type,manc_cell_type,neck_group,group,label,unordered_cluster,cluster,colours
26.310936946673994,-14.893418681565183,720575941483850749,gaba;acetylcholine,left,neck_connective,ascending,05B,NA,NA,AN05B021,ascending,,AN05B021,AN_GNG_SAD_29,AN05B021,IN,ascending_IN,NA,7,AN_18,#E92F2F
-32.95503137607991,9.642780888136965,720575941483879430,acetylcholine,right,neck_connective,ascending,07B,NA,NA,AN07B071,ascending,NA,AN07B071,NA,AN07B071,IN,ascending_IN,NA,16,AN_05,#9C9286
-22.98739145298421,23.722074139174563,720575941483885709,acetylcholine,left,neck_connective,ascending,19B,NA,NA,AN19B065,ascending,NA,AN19B065,NA,AN19B065,IN,ascending_IN,NA,20,AN_10,#973EA9
13.889043826861982,8.967112171706301,720575941483896838,acetylcholine,right,neck_connective,ascending,08B,NA,NA,AN08B101,ascending,,AN08B101,NA,AN08B101,OUT,ascending_OUT,NA,18,AN_25,#FAC240
22.467432994647627,19.91602097755347,720575941484023549,acetylcholine,right,neck_connective,ascending,10B,NA,NA,AN10B033,ascending,NA,AN10B033,AN_AVLP_53,AN10B033,OUT,ascending_OUT,NA,6,AN_22,#FA4141
-9.908021908001299,-15.405180346909422,720575941484394125,acetylcholine,left,neck_connective,ascending,17A,NA,NA,AN17A008,ascending,,AN17A008,AN_GNG_107,AN17A008,IN,ascending_IN,NA,10,AN_13,#CF603E
-5.897909622387285,-1.3250767111214579,720575941484965186,acetylcholine,right,neck_connective,ascending,04B,NA,NA,AN04B003,ascending,NA,AN04B003,AN_multi_48,AN04B003,IN,ascending_IN,NA,3,AN_26,#2C8EC0
23.689988155170088,27.09888230567847,720575941484965698,glutamate,left,neck_connective,ascending,19B,NA,NA,AN19B036,ascending,NA,AN19B036,AN_AVLP_GNG_1,AN19B036,OUT,ascending_OUT,NA,11,AN_23,#8D6F58
23.90483953456462,28.6012092710105,720575941485069520,acetylcholine,left,neck_connective,ascending,10B,NA,NA,AN10B048,ascending,NA,AN10B048,NA,AN10B048,OUT,ascending_OUT,NA,11,AN_23,#8D6F58
20.92409421901286,12.30206547981177,720575941485303693,acetylcholine,right,neck_connective,ascending,10B,NA,NA,AN10B037,ascending,NA,AN10B037,AN_GNG_165,AN10B037,OUT,ascending_OUT,NA,6,AN_22,#FA4141
-18.49487970371663,12.601322758254152,720575941485358733,gaba,right,neck_connective,descending,LB7,NA,NA,DNge091,descending,NA,DNge091,DNge091,DNxn114,OUT,descending_OUT,NA,14,DN_08,#D73029
-28.945811252788896,2.4149333119956076,720575941485405250,glutamate,left,neck_connective,ascending,06B,NA,NA,AN06B023,ascending,NA,AN06B023,SA_DMT_DMetaN_12,AN06B023,IN,ascending_IN,NA,4,AN_02,#F96A3C
-6.47159097690999,-11.636822116318601,720575941485430992,gaba,right,neck_connective,descending,putative_primary,NA,NA,DNg37,descending,NA,DNg37,DNg37,DNg37,IN,descending_IN,NA,10,DN_13,#CF603E
-22.887751560406084,12.130626308974367,720575941485562765,gaba;acetylcholine,left,neck_connective,descending,MX3;LB7,NA,NA,DNge090,descending,,DNge090,DNge090,DNg08,IN,descending_IN,NA,5,DN_09,#EF9334
27.01331998805583,0.6121449947920857,720575941485705478,acetylcholine,right,neck_connective,ascending,17A,NA,NA,AN17A013,ascending,NA,AN17A013,NA,AN17A013,IN,ascending_IN,NA,8,AN_19,#79B2E0
-35.09601877232014,11.8391882062522,720575941485886672,gaba;glutamate,right,neck_connective,ascending,06A,proprioception,NA,AN06A018,ascending,unknown_orphan_neuron;haltere_campaniform_sensillum_neuron,AN06A018,SA_DMT_DMetaN_6,AN06A018,IN,ascending_IN,AN06A018,16,AN_05,#9C9286
22.45183088283122,12.674116718825442,720575941485889858,acetylcholine,right,neck_connective,ascending,10B,NA,NA,AN10B051,ascending,NA,AN10B051,AN_AVLP_51,AN10B051,OUT,ascending_OUT,NA,6,AN_22,#FA4141
-21.068316440777178,22.625791180190188,720575941486250758,acetylcholine,left,neck_connective,ascending,19B,NA,NA,AN19B093,ascending,unknown_orphan_neuron,AN19B093,AN_4_None,AN19B093,IN,ascending_IN,NA,20,AN_10,#973EA9
10.960146922870283,6.769033539351565,720575941486413709,glutamate,left,neck_connective,descending,MX3,NA,NA,DNg40,descending,,DNg40,DNg40,DNg40,OUT,descending_OUT,NA,18,DN_25,#FAC240
-0.7432221879523943,-2.742463958207029,720575941486437954,gaba,left,neck_connective,descending,putative_primary,NA,NA,DNg108,descending,,DNg108,DNg108,DNg108,IN,descending_IN,NA,3,DN_26,#2C8EC0
-4.8757757951778125,-11.143235576096433,720575941486557446,gaba,left,neck_connective,ascending,12B,NA,NA,AN12B008,ascending,NA,AN12B008,AN_GNG_155,AN12B008,IN,ascending_IN,NA,10,AN_13,#CF603E
-22.915070514873857,-5.927250754776853,720575941486574598,acetylcholine,left,neck_connective,descending,LB12,flight,NA,DNg02_g,descending,,DNg02_g,DNg02_g,DNg02,IN,descending_IN,DNg02_g,23,DN_03,#B56FCC
4.222752113147383,-22.97243918174829,720575941486575426,acetylcholine,left,neck_connective,descending,putative_primary,NA,NA,DNge082,descending,,DNge082,DNge082,DNxl068,IN,descending_IN,NA,27,DN_17,#7E378C
-28.889420490459795,7.79099141364966,720575941486587714,acetylcholine,left,neck_connective,descending,PSp2,NA,NA,DNp16,descending,NA,DNp16,DNp16,DNp16,IN,descending_IN,NA,13,DN_04,#F35438
23.473750133319502,-13.224170100632566,720575941486597442,acetylcholine,midline,neck_connective,ascending,TBD,NA,NA,ANXXX127,ascending,,ANXXX127,AN_multi_79,ANXXX127,OUT,ascending_OUT,NA,7,AN_18,#E92F2F
-29.23726366062581,-0.5953517078789653,720575941486612034,acetylcholine,right,neck_connective,descending,WEDd1,steering,NA,DNa03,descending,,DNa03,DNa03,DNa03,IN,descending_IN,DNa03,4,DN_02,#F96A3C
22.95253660182536,-13.54348124260034,720575941486680717,gaba;dopamine,right,neck_connective,descending,putative_primary,neuromodulatory,NA,DNp32,descending,,DNp32,DNp32,DNp32,OUT,descending_OUT,DNp32,7,DN_18,#E92F2F
-22.173920612530107,18.840802776869875,720575941486681808,acetylcholine;gaba,left,neck_connective,ascending,07B,NA,NA,AN07B089,ascending,unknown_orphan_neuron,AN07B089,AN_4_None,AN07B089,OUT,ascending_OUT,NA,14,AN_08,#D73029
5.3447723577457715,-2.7650829672249735,720575941486684226,acetylcholine,left,neck_connective,descending,WEDd1,NA,NA,DNa14,descending,,DNa14,DNa14,DNa14,IN,descending_IN,NA,3,DN_26,#2C8EC0
12.559415836139326,-25.806229007187742,720575941486692493,acetylcholine,right,neck_connective,descending,SMPpv2_dorsal,NA,NA,DNp68,descending,,DNp68,DNp68,DNp68,IN,descending_IN,NA,9,DN_14,#3D9D98
22.77569677333415,-14.910528552475828,720575941486694541,acetylcholine,right,neck_connective,ascending,TBD,NA,NA,AN_multi_96,ascending,NA,AN_multi_96,AN_multi_96,NA,OUT,ascending_OUT,NA,7,AN_18,#E92F2F
-28.51822946567952,1.1886715770331442,720575941486700098,acetylcholine,right,neck_connective,descending,WEDd1,NA,NA,DNa05,descending,NA,DNa05,DNa05,DNa05,IN,descending_IN,NA,4,DN_02,#F96A3C
25.11405469874919,-13.353206050339598,720575941486700354,gaba,left,neck_connective,ascending,TBD,NA,NA,ANXXX433,ascending,,ANXXX433,AN_GNG_PRW_1,ANXXX433,OUT,ascending_OUT,NA,7,AN_18,#E92F2F
17.974282283588057,-8.404145610276121,720575941486711181,gaba,left,neck_connective,ascending,09A,NA,NA,AN09A007,ascending,NA,AN09A007,AN_8_13,AN09A007,IN,ascending_IN,NA,1,AN_20,#409D3D
15.070108432574873,-19.799856555405515,720575941486776642,glutamate,left,neck_connective,ascending,00A,NA,NA,AN00A006,ascending,,AN00A006,AN_SMP_1,AN00A006,OUT,ascending_OUT,NA,22,AN_16,#C4B39C
13.587287921710615,9.424934971388918,720575941486783238,acetylcholine,left,neck_connective,ascending,08B,NA,NA,AN08B099,ascending,NA,AN08B099,AN_GNG_164,AN08B099,OUT,ascending_OUT,NA,18,AN_25,#FAC240
-5.4867448617976855,-24.820484530869383,720575941486815238,acetylcholine,right,neck_connective,descending,putative_primary,NA,NA,DNge027,descending,,DNge027,DNge027,DNfl022,IN,descending_IN,NA,12,DN_11,#EFB135
-3.415214758114214,-20.854374301377195,720575941486839046,acetylcholine,left,neck_connective,ascending,04B,NA,NA,AN04B004,ascending,NA,AN04B004,AN_GNG_VES_5,AN04B004,IN,ascending_IN,NA,12,AN_11,#EFB135
4.960300464435225,-7.818829905930418,720575941486868432,acetylcholine,left,neck_connective,ascending,08B,NA,NA,AN08B100,ascending,,AN08B100,AN_GNG_VES_10,AN08B100,OUT,ascending_OUT,NA,2,AN_12,#9FB555
22.856396693988447,25.44636307960425,720575941486980560,glutamate,left,neck_connective,ascending,12B,NA,NA,AN12B006,ascending,NA,AN12B006,AN_AVLP_52,AN12B006,IN,ascending_IN,NA,11,AN_23,#8D6F58
-15.875963192180986,11.369661915358645,720575941487186896,acetylcholine,right,neck_connective,descending,LB7,NA,NA,DNge112,descending,NA,DNge112,DNge112,DNit003,OUT,descending_OUT,NA,21,DN_07,#5BB86E
6.319638747974043,-11.474662196579832,720575941487419856,acetylcholine,right,neck_connective,ascending,09B,NA,NA,AN09B019,ascending,,AN09B019,AN_VES_WED_1,AN09B019,IN,ascending_IN,NA,2,AN_12,#9FB555
