bodyid,post,pre,downstream,upstream,synweight,totalNtPredictions,predictedNt,voxels,class,entryNerve,name,ntAcetylcholineProb,ntGabaProb,ntGlutamateProb,ntUnknownProb,origin,location,locationType,predictedNtProb,prefix,rootSide,statusLabel,subclass,synonyms,systematicType,target,type,vfbId,modality,tag,cluster,subcluster,receptorType,status,celltypeTotalNtPredictions,celltypePredictedNt,group,somaSide,birthtime,hemilineage,serial,serialMotif,somaNeuromere,somaLocation,description,avgLocation,exitNerve,subclassabbr,transmission,tosomaLocation,longTract,rootLocation,source,soma
14454,1826,974,8258,1826,10084,974,gaba,867139597,ascending neuron,None,AN06B051_T2_R,0.007894138,0.73082656,0.25230885,0.008970485,multi,"24169,30270,34856",user,0.73082656,BA,LHS,Roughly traced,BA,NA,AN06B051,multi,AN06B051,VFB_jrcv0b5i,NA,NA,NA,10771,NA,Traced,4237,gaba,14454,RHS,secondary,06B,NA,NA,T2,"list(24907, 41035, 33804),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",6B in T2 RHS; ECM,"list(24033, 30270, 35115),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",CvC,NA,NA,,ITD,,NA,TRUE
14138,2669,461,2507,2669,5176,461,gaba,1688217145,ascending neuron,None,AN06B040_T1_L,0.016125701,0.7167269,0.25713605,0.0100113535,multi,"20995,34403,45915",user,0.71538174,BA,RHS,Roughly traced,BA,NA,AN06B040,multi,AN06B040,VFB_jrcv0awq,NA,NA,NA,NA,NA,Traced,988,gaba,14138,LHS,early secondary,06B,NA,NA,T1,"list(20198, 40688, 43594),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",6B in T1 LHS,"list(20896, 34404, 46172),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",CvC,NA,NA,,DMT,,NA,TRUE
29967,480,120,755,480,1235,120,acetylcholine,270918773,ascending neuron,None,AN10B033_T2_L,0.90421236,0.015909066,0.07749987,0.002378704,LegNp_L,"18721,35346,37627",user,0.90421236,BA,RHS,Roughly traced,BA,NA,AN10B033,LegNp_R.LegNp_L,AN10B033,VFB_jrcv0n4f,proprioceptive,NA,NA,NA,NA,Traced,499,acetylcholine,25998,LHS,secondary,10B,NA,NA,T2,"list(18831, 39265, 37999),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",10B in T2 LHS,"list(18848, 35346, 37585),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",CvC,NA,NA,,DLV,,NA,TRUE
10192,15990,1476,9648,15990,25638,1476,gaba,5686084011,intrinsic neuron,NA,IN19A003_T1_L,0.012331502500000001,0.7951137,0.18868497,0.0038698143,LegNpT1_L,"14390,24155,53256",soma,0.7946126,IR,NA,Roughly traced,IR,NA,IN19A003,LegNpT1_L,IN19A003,VFB_jrcv07v4,NA,NA,NA,NA,NA,Traced,8620,gaba,10154,LHS,primary,19A,10144,independent leg,T1,"list(14390, 24155, 53256),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",19A? in T1 LHS,,NA,NA,NA,,NA,,NA,TRUE
10320,5893,2462,19189,5893,25082,2462,gaba,4900685152,intrinsic neuron,None,IN13B001_T1_R,0.029732263,0.8602265,0.10543452,0.0046067163,LegNpT1_L,"18543,41021,53254",user,0.85971755,CR,NA,Roughly traced,CR,NA,IN13B001,LegNpT1_L,IN13B001,VFB_jrcv07yo,NA,NA,NA,NA,NA,Traced,15247,gaba,10268,RHS,primary,13B,10116,independent leg,T1,"list(23771, 41586, 56062),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",13B in T1 RHS,"list(18543, 40951, 52949),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
10342,10136,1659,11653,10136,21789,1659,gaba,3930318211,intrinsic neuron,NA,IN09A002_T1_L,0.043591335,0.65159315,0.29897743,0.0058380947,LegNpT1_L,"16136,32319,64125",soma,0.65081465,IR,NA,Roughly traced,IR,NA,IN09A002,LegNpT1_L,IN09A002,VFB_jrcv07za,NA,NA,NA,NA,NA,Traced,9329,gaba,10342,LHS,primary,09A,10342,independent leg,T1,"list(16136, 32319, 64125),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,,NA,NA,NA,,NA,,NA,TRUE
10692,9067,1231,8038,9067,17105,1231,glutamate,3979292215,intrinsic neuron,None,IN21A001_T1_L,0.030860713,0.11517702,0.85065114,0.0033111104,LegNpT1_L,"12566,30633,48799",user,0.84952784,IR,NA,Roughly traced,IR,NA,IN21A001,LegNpT1_L,IN21A001,VFB_jrcv0890,NA,NA,NA,NA,NA,Traced,7570,glutamate,10692,LHS,primary,21A,10305,independent leg,T1,"list(13265, 23694, 51501),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",21A? in T1 LHS,"list(12566, 30654, 48983),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
10854,7120,1366,9245,7120,16365,1366,glutamate,3375846366,intrinsic neuron,NA,IN16B016_T1_L,0.064610176,0.07608326,0.8533316,0.005974933,LegNpT1_L,"18426,39660,60810",soma,0.85201806,IR,NA,Roughly traced,IR,NA,IN16B016,LegNpT1_L,IN16B016,VFB_jrcv08di,NA,NA,NA,NA,NA,Traced,7924,glutamate,10854,LHS,primary,16B,10617,independent leg,T1,"list(18426, 39660, 60810),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,,NA,NA,NA,,NA,,NA,TRUE
11357,2662,474,3442,2662,6104,474,glutamate,914442170,intrinsic neuron,None,IN02A029_T1_L,0.011284159,0.031353638,0.9533135,0.0040486897,LegNpT1_L.NTct_L,"22513,35725,49604",user,0.9533135,II,NA,Roughly traced,II,NA,IN02A029,NTct_L.LegNpT1_L,IN02A029,VFB_jrcv08rh,NA,NA,NA,NA,NA,Traced,4883,glutamate,11357,LHS,early secondary,02A,NA,NA,T1,"list(21110, 39351, 56828),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",2A in T1 LHS,"list(22398, 35663, 49604),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
13116,4689,593,3894,4689,8583,593,gaba,1452227817,intrinsic neuron,None,IN03B035_T1_L,0.010011152,0.8084311,0.17829601,0.003261712,LegNpT1_L,"14299,31283,46588",user,0.8084311,IR,NA,Roughly traced,IR,NA,IN03B035,LegNpT1_L,IN03B035,VFB_jrcv0a4c,NA,NA,NA,NA,NA,Traced,6413,gaba,13116,LHS,early secondary,03B,12032,independent leg,T1,"list(10473, 29990, 43866),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",3A in T1 LHS,"list(14271, 31283, 46716),list(name = ""cartesian-3d"", properties = list(href = ""http://spatialreference.org/ref/sr-org/9157/ogcwkt/"", type = ""ogcwkt""), srid = 9157, type = ""link""),Point",NA,NA,NA,,NA,,NA,TRUE
