cell id,modalities,auditory,ciberial_mechanosensory_neuron,enteric_gustatory,grooming,gustatory,hygrosensory,johnstons_organ_other,mechanosensory,ocellar,olfactory,thermosensory,visual_achromatic,visual_chromatic,wind_gravity
720575941542584837,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941470396939,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941431747086,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941430452750,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941437751826,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941466194454,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941464637974,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941524062745,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941535851034,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941415600668,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941541839389,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941548409377,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941399380515,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941594497575,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941473714730,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941435515436,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941476041265,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941453931059,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941454037555,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941476532788,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941589017143,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941551514174,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941513855555,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941426201172,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941525217892,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941545280105,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941592711787,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941411471983,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941403959920,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941411988079,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941568660082,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941559427699,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941559394931,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941580980857,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941662302844,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941479629442,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941624808074,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941515100819,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941390623382,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941553930906,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941498290850,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941409841835,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941669233329,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941518951091,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941528945336,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941543379644,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941439029951,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941493220039,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941431321303,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941518107352,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941516411608,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941502075627,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941571732219,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941572838152,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941470536459,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941687337740,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941468578571,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941432050446,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941468906251,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941652300561,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941506196247,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941658133272,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941525824281,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941535925018,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941553414939,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941415707420,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941473313578,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941474034474,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941476041521,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941589066551,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941608538954,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941439767381,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941466260310,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941500879703,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941577548633,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941441069915,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941606654829,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941547311988,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941470602103,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941450728314,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941539767165,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941619311487,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941493998464,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941479703426,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941584708486,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941499397003,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941413315473,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941456741279,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941407564718,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941429552047,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941668520881,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941575451574,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941481407427,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941494604743,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941469053917,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941584716766,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941585593310,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941555479524,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941454136301,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941667841011,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941568832500,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941667447795,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941568340986,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941571298299,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941623211004,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941564195847,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941509448720,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941445166100,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941446894612,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941657879576,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941415224348,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941638407199,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941557085220,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941557208100,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941438841919,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941571077192,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941657683024,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941514675290,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941514658906,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941512782947,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941524513892,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941525890148,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941611365478,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941565285479,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941594580081,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941558813811,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941451023482,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941479441538,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941584446598,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941501543563,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941413684369,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941573248157,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941562164392,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941428495535,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941669070001,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941546419380,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941528855736,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941601731769,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941503198402,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941489083596,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941490590924,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941490525390,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941508580562,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941616608469,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941467350237,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941468218589,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941500839147,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941500675307,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941502633195,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941667357939,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941578384629,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941573616891,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941549950207,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941544264965,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941505860887,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941452260659,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941489607989,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941469521216,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941505983813,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941495891273,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941523236171,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941449434446,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
720575941429716321,14,True,True,True,True,True,True,True,True,True,True,True,True,True,True
