UMAP1,UMAP2,id,top_nt,nerve,region,super_class,side,super_cluster,hemilineage,cell_function,cell_function_detailed,body_part_effector,composite_cell_type,cell_class,cell_sub_class,cell_type,label,nerve_side,unordered_cluster,cluster,colours,body_part_effector2
-2.6233491058118927,-2.68428027241632,720575941350444592,octopamine,right_mesothoracic_leg_nerve,ventral_nerve_cord,motor,right,middle-hind leg,24B.25B,leg_motor,leg_motor_flex_coxa_trochanter_joint,middle leg,trochanter_flexor_MesoALN_posterior_soma,leg_motor_neuron,middle_leg_motor_neuron,trochanter_flexor_MesoALN_posterior_soma,middle leg,right,2,EFF_10,#695B52,middle leg
7.220990264915646,0.8432973662097787,720575941352743472,acetylcholine,abdominal_nerve_trunk,ventral_nerve_cord,visceral_circulatory,right,abdomen-ovulation,TBD,unknown,NA,abdomen,ENXXX286,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,ENXXX286,abdomen,right,3,EFF_05,#9C9286,abdomen
-6.367688571906863,2.08551896006659,720575941353008688,unknown,left_antennal_nerve,central_brain,motor,left,antenna,putative_primary,antenna_motor,NA,antenna,CB0810,antenna_motor_neuron,NA,CB0810,antenna,left,1,EFF_13,#CF603E,antenna
-4.572307979560672,-4.951389428071227,720575941353301552,octopamine,right_prothoracic_accessory_nerve,ventral_nerve_cord,motor,right,front leg,21A,leg_motor,leg_motor_move_coxa_posterior,front leg,sternal_posterior_rotator_miller_32,leg_motor_neuron,front_leg_motor_neuron,sternal_posterior_rotator_miller_32,front leg,right,7,EFF_11,#E92F2F,front leg
-6.65030614087659,-3.2890456876079703,720575941390352388,octopamine,left_dorsal_prothoracic_nerve,ventral_nerve_cord,motor,left,head-eye-antenna,16B,neck_motor,NA,neck,DProN9,neck_motor_neuron,NA,DProN9,neck,left,9,EFF_12,#F35438,neck
-3.934129154182254,-5.444598074845519,720575941391252886,gaba,right_prothoracic_accessory_nerve,ventral_nerve_cord,motor,right,front leg,20B.21B.22B,leg_motor,leg_motor_flex_coxa_trochanter_joint,front leg,trochanter_flexor_posterior_soma_ProAN,leg_motor_neuron,front_leg_motor_neuron,trochanter_flexor_posterior_soma_ProAN,front leg,right,7,EFF_11,#E92F2F,front leg
8.141363227867306,-1.7383049389640952,720575941391802372,octopamine,abdominal_nerve_trunk,ventral_nerve_cord,motor,right,thoracic-abdominal,TBD,unknown,NA,unknown thoracic abdominal,ENXXX226,unknown_thoracic_abdominal_motor_neuron,NA,ENXXX226,unknown thoracic abdominal,right,14,EFF_02,#EF9334,NA
6.651534164451779,0.3231445589740609,720575941392605590,acetylcholine,abdominal_nerve_trunk,ventral_nerve_cord,visceral_circulatory,left,abdomen-ovulation,TBD,diuresis_stress_tolerance_pain_threshold,"diuresis_stress_tolerance_pain_threshold_Dh44,Lk",abdomen,MNad13,ventral_nerve_cord_neurosecretory_cell,abdomen_neurosecretory_cell,MNad13,abdomen,left,3,EFF_05,#9C9286,abdomen
-0.705108081794559,1.966424588270936,720575941394653590,acetylcholine,NA,ventral_nerve_cord,visceral_circulatory,right,flight-energy-power,27X,myomodulation_energy_metabolism,myomodulation_energy_metabolism_FMRFa,neurohemal complex,EN27X010,ventral_nerve_cord_neurosecretory_cell,neurohemal_complex_neurosecretory_cell,EN27X010,neurohemal complex,right,13,EFF_09,#FAC240,neurohemal complex
4.880417669319333,2.3938804903705453,720575941399300387,gaba,abdominal_nerve_trunk,ventral_nerve_cord,motor,right,abdomen-egg-laying,TBD,unknown,NA,abdomen,MNad02,abdomen_motor_neuron,NA,MNad02,abdomen,right,10,EFF_03,#9FB555,abdomen
-4.320926582313358,-5.356839056901183,720575941399414563,gaba,right_prothoracic_accessory_nerve,ventral_nerve_cord,motor,right,front leg,21A,leg_motor,leg_motor_flex_coxa_trochanter_joint,front leg,trochanter_flexor_ProAN,leg_motor_neuron,front_leg_motor_neuron,trochanter_flexor_ProAN,front leg,right,7,EFF_11,#E92F2F,front leg
4.505133235954465,-0.4282548388759757,720575941400501795,gaba,"left_prothoracic_accessory_nerve, left_dorsal_prothoracic_nerve, right_dorsal_prothoracic_nerve, right_ventral_prothoracic_nerve",ventral_nerve_cord,visceral_circulatory,right,feeding-endocrine,00B,unknown,NA,front leg,EN00B015_T1,ventral_nerve_cord_neurosecretory_cell,front_leg_neurosecretory_cell,EN00B015_T1,front leg,right,11,EFF_06,#55B151,front leg
-0.9899613017805209,2.8528887072284554,720575941400967459,peptide,"left_anterior_dorsal_mesothoracic_nerve, right_anterior_dorsal_mesothoracic_nerve, left_dorsal_metathoracic_nerve, right_dorsal_metathoracic_nerve",ventral_nerve_cord,ascending_visceral_circulatory,left,NA,TBD,unknown,NA,wing,EAXXX079,ventral_nerve_cord_neurosecretory_cell,wing_neurosecretory_cell,EAXXX079,wing,right,4,EFF_08,#3D9D98,wing
-7.880182659126102,-0.30599474518701086,720575941402088304,gaba,left_prothoracic_accessory_nerve,ventral_nerve_cord,motor,left,front leg,08A,leg_motor,leg_motor_move_coxa_posterior,front leg,sternal_posterior_rotator,leg_motor_neuron,front_leg_motor_neuron,sternal_posterior_rotator,front leg,left,8,EFF_14,#41A4D5,front leg
8.26432665636462,-0.2395474871914054,720575941402302320,peptide,right_corpus_cardiacum_nerve,central_brain,visceral_circulatory,left,energy homeostasis,DILP__prim,diuresis_food_intake_energy_metabolism_post_mating_responses,diuresis_food_intake_energy_metabolism_post_mating_responses_Dh44,digestive tract,m_NSC_DH44,pars_intercerebralis_neurosecretory_cell,digestive_tract_neurosecretory_cell,m_NSC_DH44,digestive tract,right,6,EFF_04,#79B2E0,digestive tract
-4.908841526008426,-4.532127018861022,720575941402749552,octopamine,left_antennal_nerve,central_brain,motor,left,antenna,putative_primary,antenna_motor,NA,antenna,CB0873,antenna_motor_neuron,NA,CB0873,antenna,left,7,EFF_11,#E92F2F,antenna
9.161944473289669,-3.2869518956463004,720575941402863216,acetylcholine,right_maxillary-labial_nerve,central_brain,motor,right,proboscis-antenna,putative_primary,proboscis_motor,proboscis_motor_proboscis_positioning,proboscis,MN4a,proboscis_motor_neuron,NA,MN4a,proboscis,right,12,EFF_01,#7E378C,proboscis
5.046722019218625,2.2640708723743295,720575941403875952,acetylcholine,abdominal_nerve_trunk,ventral_nerve_cord,motor,left,abdomen-egg-laying,TBD,unknown,NA,abdomen,MNad53,abdomen_motor_neuron,NA,MNad53,abdomen,left,10,EFF_03,#9FB555,abdomen
-2.8178276176221955,-2.8360700568477775,720575941404729712,acetylcholine,right_mesothoracic_leg_nerve,ventral_nerve_cord,motor,right,middle-hind leg,24B.25B,leg_motor,leg_motor_flex_coxa_trochanter_joint,middle leg,trochanter_flexor_MesoAN,leg_motor_neuron,middle_leg_motor_neuron,trochanter_flexor_MesoAN,middle leg,right,2,EFF_10,#695B52,middle leg
0.2319221143953214,1.3059500494678353,720575941405886511,acetylcholine,right_fourth_abdominal_nerve,ventral_nerve_cord,motor,right,abdomen motor 2,19B,unknown,NA,abdomen,MNad43,abdomen_motor_neuron,NA,MNad43,abdomen,right,13,EFF_09,#FAC240,abdomen
8.240644538902462,-0.1321629246990348,720575941405981487,peptide,right_corpus_cardiacum_nerve,central_brain,visceral_circulatory,left,energy homeostasis,DILP__prim,diuresis_food_intake_energy_metabolism_post_mating_responses,diuresis_food_intake_energy_metabolism_post_mating_responses_Dh44,digestive tract,m_NSC_DH44,pars_intercerebralis_neurosecretory_cell,digestive_tract_neurosecretory_cell,m_NSC_DH44,digestive tract,right,6,EFF_04,#79B2E0,digestive tract
7.365992630027951,0.47136760146215906,720575941406487726,octopamine,left_second_abdominal_nerve,ventral_nerve_cord,motor,left,abdomen-ovulation,27X,unknown,NA,abdomen,MNad54,abdomen_motor_neuron,NA,MNad54,abdomen,left,6,EFF_04,#79B2E0,abdomen
-7.777200138068973,0.3404233494479989,720575941406488494,gaba,left_prothoracic_leg_nerve,ventral_nerve_cord,motor,left,front leg,15B,leg_motor,leg_motor_flex_femur_tibia_joint,front leg,accessory_tibia_flexor_A,leg_motor_neuron,front_leg_motor_neuron,accessory_tibia_flexor_A,front leg,left,8,EFF_14,#41A4D5,front leg
7.495456779503049,0.5484063664157723,720575941407469359,octopamine,right_dorsal_metathoracic_nerve,ventral_nerve_cord,motor,right,abdomen-ovulation,TBD,haltere_motor,NA,haltere,MNxm03,haltere_motor_neuron,NA,MNxm03,haltere,right,6,EFF_04,#79B2E0,haltere
-7.941680347419559,0.15410709769323816,720575941408338862,gaba,left_ventral_prothoracic_nerve,ventral_nerve_cord,motor,left,front leg,17X,leg_motor,leg_motor_extend_coxa_trochanter_joint,front leg,tergotrochanter_extensor,leg_motor_neuron,front_leg_motor_neuron,tergotrochanter_extensor,front leg,left,8,EFF_14,#41A4D5,front leg
1.7285443191759,1.526405934401307,720575941408576171,gaba,right_fourth_abdominal_nerve,ventral_nerve_cord,motor,right,abdomen motor 1,12A,unknown,NA,abdomen,MNad44,abdomen_motor_neuron,NA,MNad44,abdomen,right,5,EFF_07,#B56FCC,abdomen
-6.413388645149051,3.203567151137147,720575941409035691,gaba,left_metathoracic_leg_nerve,ventral_nerve_cord,motor,left,middle-hind leg,15B,leg_motor,leg_motor_flex_femur_tibia_joint,hind leg,accessory_tibia_flexor_A,leg_motor_neuron,hind_leg_motor_neuron,accessory_tibia_flexor_A,hind leg,left,1,EFF_13,#CF603E,hind leg
-5.533542072273074,3.9271527567584847,720575941409042603,gaba,left_mesothoracic_leg_nerve,ventral_nerve_cord,motor,left,middle-hind leg,08A,leg_motor,leg_motor_extend_tibia_tarsus_joint,middle leg,tarsus_depressor_dipalpha_ventralU,leg_motor_neuron,middle_leg_motor_neuron,tarsus_depressor_dipalpha_ventralU,middle leg,left,1,EFF_13,#CF603E,middle leg
5.228336418174924,2.1676873007495736,720575941409044907,octopamine,abdominal_nerve_trunk,ventral_nerve_cord,motor,left,abdomen-egg-laying,TBD,unknown,NA,abdomen,CV1030,abdomen_motor_neuron,NA,CV1030,abdomen,left,10,EFF_03,#9FB555,abdomen
