root_id,root_888,supervoxel_id,position,neurotransmitter_predicted,cell_type,volume_nm3
720575941537753320,720575941537753320,76984025344424821,"144825, 19446, 2962",acetylcholine,lLN2X12,68254940672
720575941555160833,720575941555160833,75647019138202544,"104905, 19084, 2804",acetylcholine,lLN2X12,68163947520
720575941487548301,720575941487548301,75647019138051753,"106031, 20315, 2746",acetylcholine,lLN2X12,60903524864
720575941496262855,720575941496262855,75717456601269838,"107298, 21971, 2572",acetylcholine,lLN2X12,59919503872
720575941617185689,720575941522006711,76984025344391851,"144075, 19750, 2950",acetylcholine,lLN2X12,NA
720575941546693225,720575941546693225,76001336826759712,"115634,92500,2853",octopamine,EA00B006,107252699392
720575941443143259,720575941443143259,76142074315622781,"119701, 92500, 3026",glutamate,AN09A005,107099035136
720575941602013993,720575941602013993,76073285985155716,"116891, 140947, 2496",dopamine,AN09A005,105273548032
720575941514855756,720575941514855756,76355586199264326,"126920, 165270, 4688",dopamine,AN09A005,60651588096
720575941527740418,720575941527740418,76142074315525116,"118836, 92500, 2991",dopamine,AN09A005,54147230976
720575941507870242,720575941507870242,76351806158074038,"126095, 51867, 2872",dopamine,AN09A005,35864011520
720575941436435232,720575941436435232,76142074315476676,"119266, 92500, 2972",NA,AN09A005,4727981312
720575941617163417,720575941492751820,76142074315595195,"119255, 92500, 3016",dopamine,AN09A005,NA
720575941464001168,720575941464001168,77829412347312369,"168436, 47522, 2991",acetylcholine,LT1d,106995677440
720575941482932047,720575941482932047,74451781345870959,"71027, 49635, 2838",acetylcholine,LT1d,NA
720575941411131819,720575941411131819,76773056416925054,"138255, 23962, 2554",acetylcholine,lLN2T_d,106325091840
720575941542904861,720575941542904861,76702687739407647,"136897, 24167, 2650",acetylcholine,lLN2T_d,89382073856
720575941481225039,720575941481225039,75717387882201936,"106968, 20172, 2734",acetylcholine,lLN2T_d,70904279808
720575941436567694,720575941436567694,75787894064816113,"108911, 22657, 2562",acetylcholine,lLN2T_d,70842420224
720575941511911696,720575941511911696,76005322824762913,"115257, 211121, 4084",gaba,INXXX003,105971661568
720575941524211275,720575941524211275,76988561165167640,"143797, 155297, 4141",gaba,INXXX003,99114686976
720575941557939428,720575941557939428,77618168742563269,"162833, 43693, 3111",glutamate,cL21,105362832896
720575941440904255,720575941440904255,77618168742560427,"162184, 43591, 3110",glutamate,cL21,101033896704
720575941540943509,720575941689628143,74522356383104866,"72566, 55972, 3558",glutamate,cL21,NA
720575941523184819,720575941472988279,74170443741121307,"62648, 54186, 2634",glutamate,cL21,NA
720575941534504426,720575941534504426,76984093996774522,"143673, 21171, 2693",acetylcholine,lLN1_bc,105335414016
720575941629900326,720575941629900326,77054394088266848,"146778, 19310, 2844",acetylcholine,lLN1_bc,103399615488
720575941669398193,720575941669398193,76913725252682351,"142154, 21096, 2719",acetylcholine,lLN1_bc,103030307328
720575941617664725,720575941617664725,76984093996754625,"144032, 20693, 2690",acetylcholine,lLN1_bc,101161670912
720575941519327086,720575941519327086,75787825345602942,"109153, 22357, 2633",acetylcholine,lLN1_bc,100170944512
720575941468869853,720575941468869853,76913725252464849,"142499, 22361, 2637",acetylcholine,lLN1_bc,98104589568
720575941450502222,720575941450502222,75647087790444872,"105167, 22260, 2498",acetylcholine,lLN1_bc,97673073408
720575941563465640,720575941563465640,76913793971545576,"142237, 22965, 2562",acetylcholine,lLN1_bc,95338114304
720575941568914164,720575941568914164,75647087857071101,"105463, 21608, 2573",acetylcholine,lLN1_bc,91276684800
720575941632901563,720575941632901563,75647087857215891,"105928, 20841, 2619",acetylcholine,lLN1_bc,89802424832
720575941516698771,720575941516698771,76843425227772963,"141279, 23131, 2640",acetylcholine,lLN1_bc,86466570496
720575941617868671,720575941617868671,76913725252612343,"142912, 21427, 2696",acetylcholine,lLN1_bc,84913559552
720575941472995168,720575941472995168,75647087857152982,"106431, 21304, 2603",acetylcholine,lLN1_bc,84152545024
720575941498871777,720575941498871777,75646950485246948,"104846, 18181, 2838",acetylcholine,lLN1_bc,83531938560
720575941574107643,720575941574107643,75647156509585705,"106240, 23047, 2375",acetylcholine,lLN1_bc,81877658112
720575941412138095,720575941412138095,75576581741613433,"103290, 16557, 3045",acetylcholine,lLN1_bc,79721343744
720575941458915312,720575941458915312,76984093996641887,"143776, 21437, 2644",acetylcholine,lLN1_bc,79371710464
720575941574384123,720575941574384123,77054394088223423,"145518, 19706, 2830",acetylcholine,lLN1_bc,77565336064
720575941510735376,720575941510735376,77124694180639240,"148331, 18413, 3295",acetylcholine,lLN1_bc,72975540736
720575941447716116,720575941447716116,75647156509995875,"105686, 22719, 2523",acetylcholine,lLN1_bc,71198905344
720575941626179978,720575941626179978,75717456534752988,"107050, 21907, 2545",acetylcholine,lLN1_bc,69161012736
720575941483094525,720575941483094525,76913725252385931,"141455, 22303, 2618",acetylcholine,lLN1_bc,69081725184
720575941470432887,720575941470432887,75647019137841414,"106258, 20360, 2664",acetylcholine,lLN1_bc,68917218048
720575941516791139,720575941516791139,76913725252615335,"142764, 21753, 2701",acetylcholine,lLN1_bc,68268222720
720575941493296615,720575941493296615,75647019137705940,"104530, 20364, 2616",acetylcholine,lLN1_bc,67621904896
720575941473289847,720575941441466319,75787893998212253,"108571, 23416, 2468",gaba,lLN1_bc,64831280896
720575941688323340,720575941688323340,76632387714570970,"134005, 25130, 2597",acetylcholine,lLN1_bc,61826175488
720575941515011907,720575941515011907,75717456601423257,"106786, 20649, 2637",acetylcholine,lLN1_bc,59754693376
720575941460776388,720575941460776388,76843356508508707,"140073, 21242, 2733",acetylcholine,lLN1_bc,58261803008
720575941659305752,720575941659305752,75717525253749661,"106629, 23085, 2359",acetylcholine,lLN1_bc,55642443776
720575941568151350,720575941598853056,75647156509709808,"106053, 23254, 2419",acetylcholine,lLN1_bc,55287315200
720575941548410401,720575941548410401,76984093996754566,"143565, 20663, 2692",acetylcholine,lLN1_bc,55153084928
720575941654306801,720575941429058900,76913725252494665,"143098, 21508, 2656",acetylcholine,lLN1_bc,NA
720575941489842640,720575941534007128,75647087857081173,"104565, 20689, 2583",acetylcholine,lLN1_bc,NA
720575941437166222,720575941645936801,78039694348801564,"175339, 24521, 4531",gaba,AVLP083,105211232000
720575941644360018,720575941644360018,74732637646716908,"78221, 32302, 2300",gaba,AVLP083,101908208640
720575941417950748,720575941417950748,75724878842263318,"107678, 241882, 4859",gaba,IN00A002,104783962880
720575941479015745,720575941479015745,76356341912001975,"125160, 186515, 3867",gaba,IN00A002,84500593152
720575941410338990,720575941559715876,76075760490276851,"117292, 213873, 4798",gaba,IN00A002,NA
