vertex_id,root_626,super_class,cell_type,betweenness
104,720575941662345528,ventral_nerve_cord_intrinsic,INXXX246,23.252259712441266
105,720575941565023591,visual_projection,LPLC1,0.0434977041244636
106,720575941575088744,optic_lobe_intrinsic,Mi1,0.0
107,720575941549359103,ventral_nerve_cord_intrinsic,IN12B013,110.64783694894656
108,720575941615081369,central_brain_intrinsic,CB0109,35723.10499111921
109,720575941497520713,visual_projection,LC17,0.0
110,720575941484638605,optic_lobe_intrinsic,T2a,0.0
111,720575941582376799,,,2.1018370931218
112,720575941681308349,central_brain_intrinsic,MBON30,40.7377279590664
113,720575941510372818,sensory,JO-E,0.807088294351421
114,720575941539204813,,,0.0
115,720575941477247025,central_brain_intrinsic,CRE027,0.0157387427459123
116,720575941655195865,,,3084.058809974024
117,720575941441446079,,,2312.7589318121222
118,720575941686547183,optic_lobe_intrinsic,T2a,0.0
119,720575941484085245,optic_lobe_intrinsic,Li04,0.0
120,720575941459354271,sensory,,1.3007100781359842
121,720575941432743694,,,0.0
122,720575941556525028,central_brain_intrinsic,oviIN,239.3300921360648
123,720575941590309416,ventral_nerve_cord_intrinsic,IN02A061,20.7474993769588
124,720575941502056791,optic_lobe_intrinsic,T4d,0.0
125,720575941459174470,central_brain_intrinsic,SMP068,1.916440469317588
126,720575941514038993,,,0.0
127,720575941565493399,ventral_nerve_cord_intrinsic,,814.2327970542578
128,720575941392184068,,,2.6816346121221137
129,720575941479150645,sensory,SNta21,0.2831299200428175
130,720575941554906195,,,0.200585870661827
131,720575941481046179,central_brain_intrinsic,"WED128,WED129",0.7798320206028969
132,720575941450284637,central_brain_intrinsic,CB0261,777.9056001779445
133,720575941511421650,visual_centrifugal,cM17,29.711960921560365
134,720575941391465732,optic_lobe_intrinsic,Tm1,0.0
135,720575941519327086,central_brain_intrinsic,lLN1_bc,11974.815257813609
136,720575941442225871,,,2.3135323243479324
137,720575941411197867,ventral_nerve_cord_intrinsic,IN04B054,2178.009962942864
138,720575941463964685,central_brain_intrinsic,CB0059,2187.976010161355
139,720575941433046798,ventral_nerve_cord_intrinsic,IN03A013,1093.519324004072
140,720575941626401738,visual_centrifugal,OA-AL2b1,573.1211490265305
141,720575941409796975,ventral_nerve_cord_intrinsic,IN17A061,968.3912899752468
142,720575941518442156,ventral_nerve_cord_intrinsic,IN10B055,210.4622566403588
143,720575941560958253,optic_lobe_intrinsic,Li14,0.0
144,720575941576841049,optic_lobe_intrinsic,Pm07,0.0
145,720575941518672044,,,0.0
146,720575941551944191,ventral_nerve_cord_intrinsic,INXXX316,2760.097406893617
147,720575941614589203,central_brain_intrinsic,M_l2PNm16,902.6946583222192
148,720575941663036984,optic_lobe_intrinsic,Li33,1662.471687747376
