display_name,root_id,cell_type,cell_class,cell_sub_class,super_class,super_cluster,side,neurotransmitter,body_part_sensory,body_part_effector
m_NSC_DILP,720575941550006817,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"dARC1,Ilp2,Ilp3,Ilp5",unknown,retrocerebral_complex
m_NSC_DILP,720575941688529903,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,visceral_circulatory,energy homeostasis,left,"dARC1,Ilp2,Ilp3,Ilp5",unknown,retrocerebral_complex
m_NSC_DILP,720575941562564397,m_NSC_DILP,pars_intercerebralis_neurosecretory_cell,retrocerebral_complex_neurosecretory_cell,visceral_circulatory,energy homeostasis,right,"dARC1,Ilp2,Ilp3,Ilp5",unknown,retrocerebral_complex
oxygen_sensory,720575941552165255,SA_MDA_1,orphan_neuron,abdomen_oxygenation_neuron,sensory_ascending,NA,left,acetylcholine,abdomen,NA
oxygen_sensory,720575941538256355,SAxx01,orphan_neuron,abdomen_oxygenation_neuron,sensory_ascending,NA,right,acetylcholine,abdomen,NA
oxygen_sensory,720575941587152862,SAxx01,orphan_neuron,abdomen_oxygenation_neuron,sensory_ascending,NA,right,serotonin,abdomen,NA
oxygen_sensory,720575941472130315,SAxx01,orphan_neuron,abdomen_oxygenation_neuron,sensory_ascending,NA,left,serotonin,abdomen,NA
oxygen_sensory,720575941565008384,SAxx01,orphan_neuron,abdomen_oxygenation_neuron,sensory_ascending,NA,left,acetylcholine,abdomen,NA
oxygen_sensory,720575941586999518,SAxx01,orphan_neuron,abdomen_oxygenation_neuron,sensory_ascending,NA,right,acetylcholine,abdomen,NA
oxygen_sensory,720575941576782774,SAxx01,orphan_neuron,abdomen_oxygenation_neuron,sensory_ascending,NA,right,serotonin,abdomen,NA
oxygen_sensory,720575941570119162,SAxx01,orphan_neuron,abdomen_oxygenation_neuron,sensory_ascending,NA,left,acetylcholine,abdomen,NA
oxygen_sensory,720575941534146994,SAxx01,orphan_neuron,abdomen_oxygenation_neuron,sensory_ascending,NA,right,serotonin,abdomen,NA
oxygen_sensory,720575941733201963,SAxx01,orphan_neuron,abdomen_oxygenation_neuron,sensory_ascending,NA,right,serotonin,abdomen,NA
oxygen_sensory,720575941574946299,SAxx01,orphan_neuron,abdomen_oxygenation_neuron,sensory_ascending,NA,right,serotonin,abdomen,NA
oxygen_sensory,720575941412778897,SA_MDA_4,orphan_neuron,abdomen_oxygenation_neuron,sensory_ascending,NA,left,serotonin,abdomen,NA
oxygen_sensory,720575941589084471,SNxx16,orphan_neuron,abdomen_oxygenation_neuron,sensory,NA,left,serotonin,abdomen,NA
oxygen_sensory,720575941466699798,SNxx16,orphan_neuron,abdomen_oxygenation_neuron,sensory,NA,left,serotonin,abdomen,NA
oxygen_sensory,720575941440686171,SNxx16,orphan_neuron,abdomen_oxygenation_neuron,sensory,NA,left,serotonin,abdomen,NA
oxygen_sensory,720575941612314076,SNxx16,orphan_neuron,abdomen_oxygenation_neuron,sensory,NA,right,serotonin,abdomen,NA
oxygen_sensory,720575941573468424,SNxx16,orphan_neuron,abdomen_oxygenation_neuron,sensory,NA,right,serotonin,abdomen,NA
aorta_sensory,720575941573599646,CB0991,aorta_sensory_neuron,aorta_sensory_neuron,sensory,NA,left,serotonin,aorta,NA
aorta_sensory,720575941612304873,CB0991,aorta_sensory_neuron,aorta_sensory_neuron,sensory,NA,right,serotonin,aorta,NA
aorta_sensory,720575941520532078,CB0991,aorta_sensory_neuron,aorta_sensory_neuron,sensory,NA,right,serotonin,aorta,NA
aorta_sensory,720575941616011929,CB0991,aorta_sensory_neuron,aorta_sensory_neuron,sensory,NA,left,serotonin,aorta,NA
aorta_sensory,720575941537147841,CB0991,aorta_neuron,aorta_sensory_neuron,sensory,NA,NA,serotonin,aorta,NA
