from,to,count,pre_top_nt
AN02A002,DNg100,323,glutamate
AN02A002,IN18B011,3,glutamate
AN02A002,front_leg_motor_neuron,73,glutamate
AN02A002,middle_leg_motor_neuron,11,glutamate
AN09B029_b,DNp38,72,acetylcholine
AN09B029_b,WPN,136,acetylcholine
DNg100,AN02A002,8,acetylcholine
DNg100,front_leg_motor_neuron,860,acetylcholine
DNg100,hind_leg_motor_neuron,720,acetylcholine
DNg100,middle_leg_motor_neuron,819,acetylcholine
DNp38,AN02A002,120,acetylcholine
DNp38,IN18B011,61,acetylcholine
DNp38,WPN,27,acetylcholine
IN18B011,DNg100,4,acetylcholine
IN18B011,front_leg_motor_neuron,856,acetylcholine
IN18B011,hind_leg_motor_neuron,1196,acetylcholine
IN18B011,middle_leg_motor_neuron,1381,acetylcholine
WPN,AN09B029_b,11,dopamine
WPN,DNp38,83,dopamine
front_leg_club_chordotonal_organ_neuron,front_leg_motor_neuron,45,acetylcholine
front_leg_club_chordotonal_organ_neuron,hind_leg_club_chordotonal_organ_neuron,10,acetylcholine
hind_leg_club_chordotonal_organ_neuron,IN18B011,3,acetylcholine
hind_leg_club_chordotonal_organ_neuron,front_leg_club_chordotonal_organ_neuron,12,acetylcholine
hind_leg_club_chordotonal_organ_neuron,hind_leg_motor_neuron,133,acetylcholine
middle_leg_motor_neuron,IN18B011,3,gaba
