display_name,root_id,cell_type,cell_class,cell_sub_class,super_class,super_cluster,side,neurotransmitter,body_part_sensory,body_part_effector
DNa06,720575941581684601,DNa06,descending_neuron,descending_neuron,descending,head orienting,right,acetylcholine,unknown,NA
DNa06,720575941496676295,DNa06,descending_neuron,descending_neuron,descending,head orienting,left,acetylcholine,unknown,NA
DNg89,720575941474677825,DNg89,descending_neuron,descending_neuron,descending,head orienting,right,gaba,unknown,NA
DNg89,720575941611136476,DNg89,descending_neuron,descending_neuron,descending,head orienting,left,gaba,unknown,NA
AN19B018,720575941432109582,AN19B018,ascending_neuron,ascending_neuron,ascending,head orienting,left,acetylcholine,unknown,NA
AN19B018,720575941558335524,AN19B018,ascending_neuron,ascending_neuron,ascending,head orienting,right,acetylcholine,unknown,NA
AN18B023,720575941617642965,AN18B023,ascending_neuron,ascending_neuron,ascending,head orienting,right,acetylcholine,unknown,NA
AN18B023,720575941586431812,AN18B023,ascending_neuron,ascending_neuron,ascending,head orienting,left,acetylcholine,unknown,NA
AN03A002,720575941562287202,AN03A002,ascending_neuron,ascending_neuron,ascending,head orienting,left,acetylcholine,unknown,NA
AN03A002,720575941567089908,AN03A002,ascending_neuron,ascending_neuron,ascending,head orienting,right,acetylcholine,unknown,NA
neck_yaw_motor_neuron,720575941534975425,CvNA1,neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,neck
neck_yaw_motor_neuron,720575941526853030,CvNA1,neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,neck
neck_yaw_motor_neuron,720575941524522340,"CvN1,CvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,right,acetylcholine,unknown,neck
neck_yaw_motor_neuron,720575941548493857,"CvN1,CvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,gaba,unknown,neck
neck_yaw_motor_neuron,720575941544483252,"CvN1,CvN2",neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,right,gaba,unknown,neck
neck_yaw_motor_neuron,720575941573751305,CvNA2,neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,right,octopamine,unknown,neck
neck_yaw_motor_neuron,720575941455715053,VCvN3,neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,right,glutamate,unknown,neck
neck_yaw_motor_neuron,720575941514963811,VCvN3,neck_motor_neuron,neck_yaw_motor_neuron,motor,head-eye-antenna,left,acetylcholine,unknown,neck
