neuropil,num_synapses,pre_not_proofread,pre_is_proofread,post_not_proofread,post_is_proofread,pre_proofread_%,post_proofread_%
OL_AME_R,18442,8948,9494,15493,2949,51.48031666847414,15.990673462748076
OL_LOP_L,4348175,2556887,1791288,3569775,778400,41.19631799548086,17.901763383488476
OL_LOP_R,4361047,1345224,3015823,3067388,1293659,69.15364590200473,29.66395455036371
OL_LO_L,10292842,6855920,3436922,8737244,1555598,33.39138014554192,15.113396280638526
OL_LO_R,10342073,4956846,5385227,7974260,2367813,52.07105964152448,22.89495539240537
OL_ME_L,22231893,16423942,5807951,19973181,2258712,26.1244105483955,10.15978261500269
OL_ME_R,23125078,11762826,11362252,17882425,5242653,49.13389697539615,22.670855423709273
VNC_AMNp_L,861941,250010,611931,628529,233412,70.9945344286906,27.079811727252796
VNC_AMNp_R,792757,238647,554110,589308,203449,69.89657612610169,25.663475693056004
VNC_ANm_L,3055600,929382,2126218,2384380,671220,69.58430422830213,21.966880481738446
VNC_ANm_R,3064175,822166,2242009,2381492,682683,73.16843848670523,22.279504271133337
VNC_HTct_L,1098097,276764,821333,835775,262322,74.79603350159411,23.888782138554244
VNC_HTct_R,1106840,250784,856056,834048,272792,77.34234397022152,24.64601929818221
VNC_IntTct_L,1354646,283440,1071206,1041897,312749,79.07645244587886,23.08713863252835
VNC_IntTct_R,1450476,314173,1136303,1131200,319276,78.34000700459711,22.01180853733533
VNC_LTct_L,656522,143760,512762,481290,175232,78.10279015783172,26.690956281739226
VNC_LTct_R,690937,154832,536105,512740,178197,77.59101046839292,25.790629246950157
VNC_NTct_L,533397,95644,437753,401118,132279,82.06889052619344,24.79935207734577
VNC_NTct_R,500580,109486,391094,387066,113514,78.12817132126733,22.67649526549203
VNC_T1-ProNm_L,6183698,1326823,4856875,4484359,1699339,78.54321152164935,27.480950719132792
VNC_T1-ProNm_R,5927380,1561869,4365511,4487303,1440077,73.64992627434044,24.2953379064612
VNC_T1-mVAC_L,190258,38888,151370,119210,71048,79.56038642264714,37.342976379442646
VNC_T1-mVAC_R,206389,46927,159462,138227,68162,77.2628386202753,33.02598491198659
VNC_T2-MesoNm_L,5542951,1221534,4321417,4020372,1522579,77.96238862656372,27.468743634933812
