neuropil,num_synapses,pre_not_proofread,pre_is_proofread,post_not_proofread,post_is_proofread,pre_proofread_%,post_proofread_%
CB_AL_L,2046027,725203,1320824,1124442,921585,64.55555083095189,45.042660727351105
CB_AL_R,2025016,748915,1276101,1122220,902796,63.01683542253493,44.58216626436532
CB_AMMC_L,285732,105018,180714,200398,85334,63.245978749317544,29.865048367001247
CB_AMMC_R,226980,97340,129640,166510,60470,57.11516433165917,26.641113754515818
CB_AOTU_L,608537,317290,291247,486009,122528,47.86019584676035,20.13484800431198
CB_AOTU_R,607972,295768,312204,485039,122933,51.35170698650596,20.220174613304557
CB_ATL_L,211098,80771,130327,174735,36363,61.737676339899004,17.225648750817154
CB_ATL_R,245376,94738,150638,205249,40127,61.39068205529473,16.353270083463745
CB_AVLP_L,6559757,2799951,3759806,5562581,997176,57.31623900092641,15.201416759797656
CB_AVLP_R,5914942,1911320,4003622,4741052,1173890,67.6865808658817,19.846179387726878
CB_BU_L,34872,10987,23885,29655,5217,68.49334709795825,14.960426703372335
CB_BU_R,32454,8232,24222,26227,6227,74.63486781290442,19.187157207123928
CB_CAN_L,90122,23772,66350,69687,20435,73.62242293779543,22.674818579259227
CB_CAN_R,52053,10267,41786,40217,11836,80.27587266824199,22.73836282250783
CB_CRE_L,1477783,609019,868764,1260115,217668,58.78833360513689,14.729361482707542
CB_CRE_R,1501505,534075,967430,1255353,246152,64.43068787649725,16.393685002713944
CB_EB_L,261495,60574,200921,146762,114733,76.83550354691295,43.87579112411327
CB_EB_R,262121,56039,206082,141331,120790,78.62094223660065,46.081771395653156
CB_EPA_L,207527,71727,135800,167188,40339,65.43726840362942,19.437952651944084
CB_EPA_R,220918,64975,155943,177465,43453,70.58863469703691,19.66928905747834
CB_FB_L,1127268,347003,780265,798944,328324,69.2173467179056,29.12563826880564
CB_FB_R,1106345,348961,757384,778238,328107,68.45821149822162,29.656843028169334
CB_FLA_L,571978,115845,456133,432590,139388,79.74659864540244,24.369468755791306
CB_FLA_R,476127,93259,382868,360987,115140,80.41299905277374,24.18262354371838
CB_GA_L,33456,6575,26881,23301,10155,80.3473218555715,30.353299856527975
CB_GA_R,36264,6791,29473,24521,11743,81.27343922347231,32.38197661592764
CB_GNG_L,4699970,1569080,3130890,3876919,823051,66.61510605386843,17.511835181926692
CB_GNG_R,5251115,1525460,3725655,4158974,1092141,70.94978875914924,20.79826855820145
CB_GOR_L,318969,132846,186123,264483,54486,58.35143854104944,17.081910781298497
CB_GOR_R,355672,145945,209727,293896,61776,58.9664072516251,17.368811714163613
CB_IB_L,947967,331619,616348,787980,159987,65.01787509480815,16.876853308184778
CB_IB_R,980957,328327,652630,809481,171476,66.52992944644872,17.48048079579431
CB_ICL_L,1666624,634893,1031731,1384181,282443,61.90544477938636,16.947013843554394
CB_ICL_R,1681825,577757,1104068,1379306,302519,65.6470203499175,17.987543293743403
CB_IPS_L,1735350,523348,1212002,1417236,318114,69.84193390382345,18.33140288702567
CB_IPS_R,2154093,527615,1626478,1701555,452538,75.506396427638,21.008285157604618
CB_LAL_L,1590524,400367,1190157,1255720,334804,74.82798121876816,21.049918140185248
CB_LAL_R,1565064,354587,1210477,1221043,344021,77.34361022935803,21.98127360925815
CB_LH_L,2392126,1149201,1242925,2190143,201983,51.95901052034885,8.443660576407765
CB_LH_R,2773107,1266696,1506411,2446953,326154,54.32213758791132,11.761320425068345
CB_MB-CA_L,643964,125291,518673,488594,155370,80.54378816207117,24.127125118795462
CB_MB-CA_R,617884,121174,496710,442792,175092,80.38887558182441,28.337357821209157
CB_MB-ML_L,592461,305435,287026,496824,95637,48.44639562772908,16.142328355790507
CB_MB-ML_R,641921,307141,334780,512031,129890,52.152835006176765,20.23457715201715
CB_MB-PED_L,77370,33571,43799,53957,23413,56.609797078971184,30.261083107147474
CB_MB-PED_R,87611,27050,60561,52159,35452,69.12488157879719,40.465238383308034
CB_MB-VL_L,287074,144093,142981,237086,49988,49.806321714958514,17.41293185729115
