neuropil,count_total,count_proof,proof_ratio,side
PLP_L,2165093,2070591,0.9563519904225823,pre
PLP_L,2165093,782418,0.36137847196402184,post
PLP_R,1948346,1870722,0.9601590271953749,pre
PLP_R,1948346,694643,0.3565295897135314,post
PRW,1097236,1050871,0.9577438217484662,pre
PRW,1097236,368112,0.33549026827409967,post
PVLP_L,2017916,1907188,0.945127547430121,pre
PVLP_L,2017916,949702,0.4706350512112496,post
PVLP_R,1502443,1440777,0.9589561800347833,pre
PVLP_R,1502443,735464,0.48951208132355106,post
SAD,1388800,1323316,0.9528485023041474,pre
SAD,1388800,554023,0.39892209101382486,post
SCL_L,945777,887318,0.9381894463494037,pre
SCL_L,945777,263691,0.27880885240389647,post
SCL_R,992427,943468,0.9506674042524035,pre
SCL_R,992427,296868,0.299133336759278,post
SIP_L,722016,670195,0.928227352302442,pre
SIP_L,722016,212568,0.2944089881664672,post
SIP_R,803770,759137,0.9444704330840912,pre
SIP_R,803770,243210,0.30258656083207885,post
SLP_L,2722939,2472806,0.9081385958333992,pre
SLP_L,2722939,601299,0.22082720178454238,post
SLP_R,3021435,2848523,0.9427715638430084,pre
SLP_R,3021435,769004,0.2545161487836078,post
SMP_L,3140665,2933488,0.9340340341933954,pre
SMP_L,3140665,877095,0.27927047297308055,post
SMP_R,3330676,3136969,0.941841536072557,pre
SMP_R,3330676,955617,0.2869138277034452,post
SPS_L,1622310,1553845,0.9577978314872003,pre
SPS_L,1622310,594530,0.3664712662807971,post
SPS_R,1984858,1907488,0.9610198815230108,pre
SPS_R,1984858,763228,0.3845252405965565,post
VES_L,853369,817154,0.9575623206373796,pre
VES_L,853369,275725,0.3231017297323901,post
VES_R,893428,857242,0.9594975756300452,pre
VES_R,893428,294438,0.3295598526126336,post
WED_L,547710,525700,0.9598145003742856,pre
WED_L,547710,204441,0.3732650490222928,post
WED_R,767200,739981,0.9645216371220021,pre
WED_R,767200,264574,0.34485662148070906,post
Central brain,76068943,72443289,0.9523372633165154,pre
Central brain,76068943,28076432,0.36909191705214045,post
Optic lobe,54026082,49504094,0.9162999086256153,pre
Optic lobe,54026082,30041202,0.5560499834135668,post
Overall,130095025,121947383,0.9373716097137458,pre
Overall,130095025,58117634,0.4467321790360546,post
