UMAP1,UMAP2,id,neurotransmitter,side,region,super_class,hemilineage,cell_function,nerve,cell_sub_type,cell_class,cell_sub_class,cell_type,fafb_cell_type,manc_cell_type,super_cluster,st_cluster,manual_cluster,seed_12,pd_width,neck_group,group,label,cell_type_base,modality,cell_function_plot,clusterno,image_path,cosine_UMAP1,cosine_UMAP2,calculated_cluster,cluster,colours,pd_has_width,pd_size,image
0.08555041656424156,-5.510910130633299,720575941548351549,acetylcholine,left,ventral_nerve_cord,ascending,04B,NA,NA,AN04B003_T2,ascending_neuron,ascending_neuron,AN04B003,AN_IPS_GNG_7,AN04B003,takeoff-landing,takeoff-landing (AN),AN_03,AN04B003_720575941548351549,0.65,IN,ascending_IN,NA,AN04B003,NA,NA,3,NA,2.3641646194990784,14.01336110069448,3,AN_03,#F7BA3C,TRUE,0.65,NA
-20.709767471695645,-14.229511834277098,720575941548378804,acetylcholine,right,central_brain,descending,putative_primary,NA,NA,DNpe005,descending_neuron,descending_neuron,DNpe005,DNpe005,DNxn101,flight steering 1,flight steering 1 (DN),DN_14,DNpe005_720575941548378804,0.9,IN,descending_IN,NA,DNpe005,NA,NA,12,NA,-21.03323575968183,-9.886607046583352,12,DN_12,#FBCD5A,TRUE,0.9,NA
2.3834510932915363,-11.130830384386961,720575941548409377,acetylcholine,right,central_brain,descending,PSp2,NA,NA,DNpe018,descending_neuron,descending_neuron,DNpe018,DNpe018,DNxn128,head orienting,head orienting (DN),DN_02,DNpe018_720575941548409377,0.27,IN,descending_IN,NA,DNpe018,NA,NA,6,NA,-27.72294637674726,-6.17057501838511,6,DN_06,#4D9C3C,TRUE,0.27,NA
17.078623641585605,38.58517589460474,720575941548667060,gaba,left,ventral_nerve_cord,ascending,TBD,NA,NA,ANXXX404,ascending_neuron,ascending_neuron,ANXXX404,AN_GNG_73,ANXXX404,tactile,tactile (AN),AN_13,ANXXX404_720575941433595406,0.37,OUT,ascending_OUT,NA,ANXXX404,NA,NA,13,NA,38.78300073628985,8.803443078538718,13,AN_13,#48A9D9,TRUE,0.37,NA
10.291417945479647,-40.2124162684812,720575941548829473,acetylcholine,left,ventral_nerve_cord,ascending,19B,NA,NA,AN19B063,ascending_neuron,ascending_neuron,AN19B063,NA,AN19B063,flight steering 2,flight steering 2 (AN),AN_12,AN19B063_720575941548829473,0.53,IN,ascending_IN,NA,AN19B063,NA,NA,11,NA,-40.723350734657416,14.330224160692039,11,AN_11,#FE4545,TRUE,0.53,NA
-16.434379707718595,2.8565076817141133,720575941548867252,acetylcholine,left,ventral_nerve_cord,ascending,27X,halting,NA,AN27X017_T3,ascending_neuron,ascending_neuron,AN27X017,AN_multi_77,AN27X017,visceral control,visceral control (AN),AN_08,AN27X017_720575941545489413,0.71,OUT,ascending_OUT,AN27X017,AN27X017,halting,halting,15,figures/schematics/umap_icons/halting.svg,6.890434055381647,-30.516245718458354,15,AN_15,#6A2978,TRUE,0.71,figures/schematics/umap_icons/halting.svg
-1.9317952503211344,-27.03906307329077,720575941548952609,acetylcholine,left,ventral_nerve_cord,ascending,07B,NA,NA,AN07B069,ascending_neuron,ascending_neuron,AN07B069,AN_SPS_IPS_2,AN07B069,head orienting,head orienting (AN),AN_02,AN07B069_720575941548952609,0.3,OUT,ascending_OUT,NA,AN07B069,NA,NA,4,NA,-36.13654348368085,-0.23568048641985423,4,AN_04,#947E6C,TRUE,0.3,NA
-11.469708572769864,-45.27819690812964,720575941549022497,acetylcholine,left,central_brain,descending,PSp2,NA,NA,DNpe054,descending_neuron,descending_neuron,DNpe054,DNpe054,DNut042,head orienting,head orienting (DN),DN_02,DNpe054_720575941549022497,NA,IN,descending_IN,NA,DNpe054,NA,NA,4,NA,-38.61087820047773,-7.704548712232766,4,DN_04,#947E6C,FALSE,0.5,NA
-2.994493137741789,9.67800178419214,720575941549063167,gaba,right,ventral_nerve_cord,ascending,12B,NA,NA,AN12B089,ascending_neuron,ascending_neuron,AN12B089,AN_GNG_135,AN12B089,tactile,tactile (AN),AN_13,AN12B089_720575941549063167,0.25,OUT,ascending_OUT,NA,AN12B089,NA,NA,3,NA,14.456850795799127,-0.4574743466169215,3,AN_03,#F7BA3C,TRUE,0.25,NA
-17.529538284683927,17.590999029980715,720575941549144968,acetylcholine,left,central_brain,descending,SMPpv2_ventral,NA,NA,DNp69,descending_neuron,descending_neuron,DNp69,DNp69,DNp69,threat response,threat response (DN),DN_07,DNp69_720575941481985475,NA,OUT,descending_OUT,NA,DNp69,NA,NA,8,NA,12.282805233054987,-8.400453443983254,8,DN_08,#51B07B,FALSE,0.5,NA
