neuron_name,flywire_id
peacock,720575940618563664
peahen,720575940618118485
peahen,720575940613361010
peahen,720575940626983684
peahen,720575940617854676
peafowl,720575940619985243
peafowl,720575940622284947
phantom,720575940637763135
phantom,720575940616103218
planter,720575940617497437
planter,720575940628129129
pleco,720575940615583647
pleco,720575940611502286
pringle,720575940621218694
pringle,720575940611715813
pSG1,720575940610698931
pSG1,720575940620224532
pSG1,720575940630757516
pSG1,720575940629997050
pSG1,720575940620943365
pSG1,720575940621517481
puddle,720575940627739023
puddle,720575940616848214
rattle,720575940630461660
rattle,720575940638103349
rocket,720575940620916360
rocket,720575940611783410
rocket,720575940613735391
rocket,720575940639621760
rocket,720575940619196848
rocket,720575940629081175
rocket,720575940639107573
rocket,720575940637761213
rocket,720575940610322040
rocket,720575940629977192
rocket,720575940638604733
rocket,720575940620950554
rocket,720575940616455483
rocket,720575940635839845
rocket,720575940643253271
rocket,720575940638874064
rocket,720575940619462128
rocket,720575940619862720
rose,720575940624101524
roundup,720575940607272649
roundup,720575940623211725
ruby,720575940622168052
ruby,720575940608901897
Salivary_MN13,720575940619455879
Salivary_MN13,720575940618864725
seagull,720575940626278974
shark,720575940635776760
shark,720575940626770057
shark,720575940620182181
shark,720575940607641010
sink_sync,720575940622624214
sink_sync,720575940638001498
sink_sync,720575940628029180
sink_sync,720575940647560500
snake,720575940631643532
snake,720575940625815562
spray,720575940608402012
spray,720575940629210490
spirit,720575940621468404
spirit,720575940613461043
sullivan,720575940628590697
sullivan,720575940638663221
sundrop,720575940626086842
sundrop,720575940607014530
tentacular,720575940620673985
tentacular,720575940621399899
TH_VUM,720575940616857174
tinctoria,720575940619048827
tinctoria,720575940625875504
tinctoria,720575940630868793
tinctoria,720575940618165019
tophat,720575940622541005
tophat,720575940638865011
tophat,720575940620441024
tophat,720575940660281217
TPN4,720575940634147936
TPN4,720575940614238114
trident,720575940624163303
trogon,720575940631595603
trumpet,720575940645056791
trumpet,720575940628386295
