root_id,spectral_cluster,umap_x,umap_y,unofficial_cluster_name
720575941558534436,5,2.8981576,9.598187,lateral brain
720575941629051174,9,2.5709157,14.046093,left visual
720575941594317095,2,-6.798706,12.273385,ventral VNC
720575941592219944,2,-8.533581,11.509189,ventral VNC
720575941594841383,9,2.7135913,11.181548,left visual
720575941474779434,4,1.0022019,7.655823,posterior brain
720575941732204843,13,8.492193,-5.3256435,central complex
720575941732991275,11,10.765661,10.38644,left olfactory
720575941474779444,2,-8.720659,10.379206,ventral VNC
720575941589205303,11,15.312613,13.540396,left olfactory
720575941661688120,12,9.372827,2.64922,right olfactory
720575941662474552,7,3.1327057,5.8173094,inferior brain
720575941723423034,7,5.1472254,5.7231507,inferior brain
720575941473206587,9,5.9006424,13.070611,left visual
720575941721719098,9,3.3345542,13.177294,left visual
720575941486444866,1,-0.4154789,5.5782547,dorsal VNC
720575941514756419,13,7.5691423,-6.3720694,central complex
720575941459968326,4,1.6919513,5.5555243,posterior brain
720575941451841863,1,-5.7186985,3.2480192,dorsal VNC
720575941459312966,1,-8.490929,0.77383125,dorsal VNC
720575941450269006,11,15.122735,13.388625,left olfactory
720575941481201999,5,2.2180269,1.9932228,lateral brain
720575941659066704,8,7.8608527,4.9938216,superior brain
720575941659328848,2,-11.317156,8.057056,ventral VNC
720575941642158418,2,-11.164326,7.9359665,ventral VNC
720575941451186510,7,5.867542,9.163086,inferior brain
720575941553815891,10,4.5096245,-3.5560348,right visual
720575941503877463,7,6.0174184,9.003743,inferior brain
720575941450269021,13,13.972999,0.75165886,central complex
720575941583307103,12,15.289895,-4.8474555,right olfactory
720575941473599840,5,1.2380536,10.3689785,lateral brain
720575941612667238,2,-7.6387057,9.395554,ventral VNC
720575941565088103,10,4.95076,0.590364,right visual
720575941576753512,8,8.4954405,3.7072449,superior brain
720575941546606953,12,10.751298,-0.28532565,right olfactory
720575941478580586,11,10.919688,9.346351,left olfactory
720575941593923947,9,-3.0297253,19.826923,left visual
720575941557617011,2,-6.9769874,10.740107,ventral VNC
720575941644386680,8,10.231197,5.8863587,superior brain
720575941580685689,2,-6.929681,8.760167,ventral VNC
720575941451579770,7,5.6482677,9.985323,inferior brain
720575941495095678,12,9.321182,1.9576286,right olfactory
720575941480546690,2,-11.034489,7.1964,ventral VNC
720575941551063431,3,-11.150105,3.9359438,abdominal VNC
720575941501649291,9,4.9132605,10.939437,left visual
720575941588550028,2,-6.5512094,12.318298,ventral VNC
720575941413044625,8,9.270899,7.3417883,superior brain
720575941564432786,2,-7.7498384,9.427338,ventral VNC
720575941562466706,10,2.7580206,-2.135902,right visual
720575941430590857,9,3.5449164,12.910454,left visual
720575941456429471,2,-8.6337385,11.532142,ventral VNC
720575941633245600,11,11.8838825,11.345257,left olfactory
720575941556830628,7,5.6703963,7.7937965,inferior brain
720575941556568484,4,1.5145146,6.677947,posterior brain
720575941557485988,11,9.631744,8.847747,left olfactory
720575941561680296,9,3.3351018,13.206782,left visual
720575941450793385,4,2.3504634,5.738093,posterior brain
720575941430739375,7,5.6286936,3.8250954,inferior brain
720575941493522864,11,15.6398945,13.598303,left olfactory
720575941546344884,11,10.800064,10.011078,left olfactory
720575941449875893,2,-8.006044,9.828248,ventral VNC
720575941575705014,2,-7.521536,8.225319,ventral VNC
720575941518950839,5,1.2432984,9.117063,lateral brain
720575941484216762,7,5.4483724,10.062696,inferior brain
720575941544116668,11,16.395641,14.631167,left olfactory
720575941598249408,8,8.064322,6.6835165,superior brain
720575941536252353,7,5.49731,6.850215,inferior brain
720575941645566408,8,8.946964,7.2532053,superior brain
720575941529305547,13,13.96044,0.76342356,central complex
720575941490901452,12,13.8767605,-3.2454433,right olfactory
720575941594972630,12,9.965488,1.0417038,right olfactory
720575941431919063,7,6.4675846,5.7145615,inferior brain
720575941519213016,1,-6.111956,4.30823,dorsal VNC
720575941594448342,10,2.6107225,0.27728963,right visual
720575941436899807,2,-6.48201,12.385172,ventral VNC
720575941479236064,13,7.7282286,-6.282041,central complex
720575941532713445,6,-3.000263,2.6285396,flange median bundle
720575941537825256,12,15.145745,-5.0874662,right olfactory
720575941608866281,1,-6.224142,3.672836,dorsal VNC
720575941503746539,10,2.05062,-0.17146558,right visual
720575941686985199,3,-11.855346,2.873464,abdominal VNC
720575941568889332,5,-3.9542027,10.414605,lateral brain
720575941515936249,2,-7.397902,7.7983065,ventral VNC
720575941573739003,8,6.9114747,5.68498,superior brain
720575941484347901,7,5.2372146,6.9973803,inferior brain
720575941590909438,7,6.524304,5.710125,inferior brain
720575941552374273,2,-9.067866,11.064946,ventral VNC
720575941526946306,4,2.157192,5.9036646,posterior brain
720575941515936259,7,4.955942,4.7292323,inferior brain
720575941514625539,2,-6.9277277,12.7139225,ventral VNC
720575941391811076,2,-7.577604,9.0104885,ventral VNC
720575941565350407,8,7.919256,4.9417844,superior brain
720575941573083656,2,-6.9903774,9.249256,ventral VNC
720575941574001161,5,1.5536385,1.8388274,lateral brain
720575941574656520,7,5.0120573,3.8954217,inferior brain
720575941573607944,13,-2.7917879,-9.232087,central complex
720575941463769613,8,8.998327,4.4991083,superior brain
720575941438603794,4,1.174237,5.337717,posterior brain
720575941465080342,2,-6.4545717,12.341666,ventral VNC
720575941543199261,6,10.959484,4.2669086,flange median bundle
720575941542281757,9,3.2372315,14.734273,left visual
720575941433360928,2,-9.495994,10.438297,ventral VNC
720575941549883937,13,8.877825,-4.9082875,central complex
720575941595496997,12,9.24289,2.1339858,right olfactory
720575941629706790,3,-12.541489,2.865025,abdominal VNC
720575941593137704,7,4.8883114,5.6590343,inferior brain
720575941591302696,7,5.0765305,2.784707,inferior brain
720575941474648618,2,-6.8901763,7.7003202,ventral VNC
720575941732729387,7,4.212238,6.321102,inferior brain
720575941438603820,7,5.2246237,3.821989,inferior brain
720575941408850479,12,9.212054,2.2265046,right olfactory
720575941590254135,8,6.2196856,7.7087555,superior brain
720575941587239479,2,-9.043739,10.969661,ventral VNC
720575941437948479,2,-10.693407,8.808052,ventral VNC
720575941450007111,5,-3.0249732,10.998674,lateral brain
720575941496406601,10,4.788844,1.8350043,right visual
720575941498634825,12,15.367545,-4.232316,right olfactory
720575941513839180,8,7.595747,5.339461,superior brain
720575941526291021,5,1.9800417,1.9555635,lateral brain
720575941450924622,11,11.241533,10.6339035,left olfactory
720575941658018384,2,-6.8934083,12.64424,ventral VNC
720575941464162902,2,-9.043721,10.9800825,ventral VNC
720575941578719833,7,4.7500377,5.556757,inferior brain
720575941441618523,5,-5.3328476,9.579169,lateral brain
720575941542675036,13,9.168062,-5.053382,central complex
720575941449089629,7,5.297654,7.2129154,inferior brain
720575941432050273,7,5.4983473,5.7062063,inferior brain
720575941565219426,8,8.617949,5.8824024,superior brain
720575941643469413,2,-11.27518,8.022682,ventral VNC
720575941642682981,11,15.035652,13.028564,left olfactory
720575941626298988,9,2.8844569,12.775427,left visual
720575941626167916,11,9.7133,9.16672,left olfactory
720575941623284332,3,-12.53205,2.7776115,abdominal VNC
720575941594055281,10,1.2430615,-3.608829,right visual
720575941686723190,12,15.866492,-2.9832315,right olfactory
720575941468357239,2,-6.001046,12.322641,ventral VNC
720575941581079161,4,2.80218,5.529564,posterior brain
720575941581865593,13,13.999809,0.81242216,central complex
720575941496799867,10,4.935934,0.58845764,right visual
720575941538349693,12,14.262375,-4.02092,right olfactory
720575941539398269,12,15.19007,-4.120372,right olfactory
720575941540053629,8,9.4402075,8.483992,superior brain
720575941585273478,10,4.3637824,0.10836852,right visual
720575941551063687,3,-9.762928,4.7962427,abdominal VNC
720575941547786888,11,15.062946,13.536478,left olfactory
720575941623284362,1,-7.7287555,1.4644033,dorsal VNC
720575941413700241,4,0.43251157,6.106581,posterior brain
720575941514101395,2,-11.5446205,8.047287,ventral VNC
720575941539398293,8,3.1640341,2.4099786,superior brain
720575941551981210,9,2.7624998,9.98592,left visual
720575941626036891,4,1.9561098,6.2178197,posterior brain
720575941625905819,8,10.417516,5.2210956,superior brain
720575941572035229,1,-7.973167,1.6171181,dorsal VNC
720575941572690590,9,2.7168014,12.173303,left visual
720575941570855582,7,5.6886578,7.500915,inferior brain
720575941633245856,8,9.419442,5.5378923,superior brain
720575941644518049,10,4.615857,0.2180994,right visual
720575941572035230,7,6.0354724,4.0478415,inferior brain
720575941505974949,11,16.35965,14.383999,left olfactory
720575941670601383,13,-2.987849,-9.439098,central complex
720575941411603115,11,9.764523,9.123963,left olfactory
720575941518951084,5,1.9076473,1.6472607,lateral brain
720575941431263919,12,10.118285,0.64464605,right olfactory
720575941518951091,1,-5.323556,3.272346,dorsal VNC
720575941446992565,1,-6.123325,2.861157,dorsal VNC
720575941450007221,8,7.423497,5.969898,superior brain
720575941480809146,2,-6.6023116,12.357884,ventral VNC
720575941483692730,5,1.6899159,10.081924,lateral brain
720575941441356479,12,14.734012,-4.564478,right olfactory
720575941536121537,8,9.121688,3.5483556,superior brain
720575941480415939,1,-8.659835,0.20100747,dorsal VNC
720575941632983749,8,7.970993,6.633352,superior brain
720575941489197769,8,8.742352,3.2213657,superior brain
720575941626299082,9,5.6245413,13.478914,left visual
720575941538742989,10,3.0206587,-3.5265515,right visual
720575941488542414,2,-6.2867975,12.278094,ventral VNC
720575941440438991,7,6.3245378,1.7661421,inferior brain
720575941593793238,2,-10.56587,8.758379,ventral VNC
720575941701141210,10,2.1795266,-2.869877,right visual
720575941479236320,7,3.7412674,7.0913672,inferior brain
720575941631017698,1,-8.488169,-0.4253495,dorsal VNC
720575941556437732,2,-7.242533,8.537034,ventral VNC
720575941490639591,2,-6.100661,12.43446,ventral VNC
720575941537563368,8,8.194505,6.713904,superior brain
720575941535990504,5,1.1025643,8.057304,lateral brain
720575941534024426,1,-7.43856,1.9338255,dorsal VNC
720575941535073002,2,-11.744988,8.22784,ventral VNC
720575941610308329,13,-2.97831,-9.44026,central complex
720575941456823021,5,1.6318297,1.7655631,lateral brain
720575941489459943,10,2.7764819,-2.1208684,right visual
720575941567054580,2,-8.808179,10.52717,ventral VNC
720575941579768565,1,-7.775331,-0.32588917,dorsal VNC
720575941522490103,8,9.2245455,8.063908,superior brain
720575941515936505,2,-7.6002464,8.315061,ventral VNC
720575941624595196,9,3.798337,13.15042,left visual
720575941483692797,3,-9.021778,6.012969,abdominal VNC
720575941591040766,8,8.520263,3.0166018,superior brain
720575941526946562,2,-6.8194933,8.622241,ventral VNC
720575941513184003,3,-12.380467,2.8375013,abdominal VNC
720575941542806277,2,-8.907335,7.162569,ventral VNC
720575941485789958,4,1.0014426,6.9578023,posterior brain
720575941574001417,2,-6.48556,12.131473,ventral VNC
