seed_class,super_cluster,target,influence_norm_log_max
mushroom_body_output,flight steering 1,DNg82,17.53
mushroom_body_output,probing,DNg107,17.52
mushroom_body_output,flight steering 1,DNae002,17.5
mushroom_body_output,head orienting,DNb02,17.5
mushroom_body_output,probing,DNge069,17.5
mushroom_body_output,flight power,DNg02_b,17.48
mushroom_body_output,head orienting,AN07B052,17.48
mushroom_body_output,walking steering,DNg60,17.47
mushroom_body_output,flight power,DNg02_h,17.46
mushroom_body_output,threat response,DNge047,17.46
mushroom_body_output,postural control,AN08B098,17.45
mushroom_body_output,walking,DNg97,17.44
mushroom_body_output,head orienting,AN07B072,17.43
mushroom_body_output,visceral control,AN27X017,17.42
mushroom_body_output,walking,DNp101,17.42
mushroom_body_output,threat response,AN05B006,17.41
mushroom_body_output,walking steering,DNge134,17.41
mushroom_body_output,taste-touch,AN05B094,17.36
mushroom_body_output,feeding,DNd04,17.34
mushroom_body_output,probing,DNge023,17.34
mushroom_body_output,flight steering 1,DNb01,17.32
mushroom_body_output,threat response,DNge099,17.31
mushroom_body_output,flight power,AN07B037,17.3
mushroom_body_output,reproduction,oviDNb,17.29
mushroom_body_output,probing,AN06A015,17.28
visual_projection,flight power,DNp20,23.11
visual_projection,head orienting,DNp22,22.96
visual_projection,head orienting,DNb03,22.69
visual_projection,head orienting,DNg41,22.44
visual_projection,reproduction,ANXXX250,22.39
visual_projection,head orienting,DNp17,22.24
visual_projection,head orienting,DNp53,22.21
visual_projection,flight steering 1,DNge107,22.14
visual_projection,head orienting,DNg46,22.07
visual_projection,flight power,DNge094,22.02
visual_projection,probing,DNp56,21.86
visual_projection,walking,DNp41,21.86
visual_projection,walking,DNpe032,21.78
visual_projection,head orienting,DNpe004,21.77
visual_projection,head orienting,DNg36_b,21.72
visual_projection,head orienting,DNpe054,21.68
visual_projection,postural control,DNp34,21.68
visual_projection,head orienting,DNp15,21.67
visual_projection,flight power,DNg11,21.65
visual_projection,flight power,DNp16,21.6
visual_projection,flight steering 1,DNpe017,21.6
visual_projection,head orienting,DNpe008,21.35
visual_projection,head orienting,DNge088,21.33
visual_projection,flight steering 1,DNp18,21.3
visual_projection,flight steering 2,DNp19,21.28
visual_projection,head orienting,DNb06,21.28
visual_projection,probing,DNbe007,21.26
visual_projection,taste-touch,DNge141,21.26
visual_projection,reproduction,DNp27,21.24
visual_projection,walking steering,DNae005,21.21
visual_projection,flight power,DNpe011,21.19
visual_projection,walking,DNae008,21.15
visual_projection,walking,DNp102,21.11
visual_projection,walking,DNbe003,21.09
visual_projection,threat response,DNp04,21.08
visual_projection,probing,DNpe002,21.06
visual_projection,flight power,DNge091,20.99
visual_projection,flight power,DNge097,20.98
visual_projection,head orienting,DNge006,20.97
visual_projection,postural control,DNp12,20.96
visual_projection,postural control,DNp05,20.95
visual_projection,flight power,DNpe014,20.92
visual_projection,flight power,DNg06,20.91
visual_projection,flight power,DNge111,20.81
visual_projection,postural control,DNp47,20.81
visual_projection,flight steering 1,DNg79,20.8
visual_projection,head orienting,DNge043,20.79
visual_projection,flight power,ANXXX094,20.78
visual_projection,probing,DNpe003,20.74
visual_projection,head orienting,DNge116,20.69
visual_projection,feeding,AN01A055,20.67
visual_projection,flight power,DNge117,20.67
visual_projection,flight power,AN19B049,20.61
visual_projection,head orienting,DNb02,20.6
visual_projection,flight power,DNpe018,20.58
visual_projection,flight power,AN06B068,20.53
visual_projection,head orienting,AN07B071,20.53
visual_projection,head orienting,DNge086,20.52
visual_projection,flight power,DNg92_a,20.51
visual_projection,head orienting,AN07B056,20.49
visual_projection,threat response,DNp08,20.49
visual_projection,walking,DNp07,20.48
visual_projection,head orienting,AN06A018,20.46
visual_projection,flight steering 1,DNp26,20.43
visual_projection,flight steering 1,DNp31,20.42
visual_projection,walking,DNpe016,20.42
visual_projection,walking steering,DNg39,20.36
visual_projection,probing,DNge041,20.34
visual_projection,taste-touch,AN09B013,20.31
visual_projection,walking,DNge103,20.31
visual_projection,head orienting,DNge092,20.29
visual_projection,flight steering 2,DNge085,20.27
visual_projection,walking,DNpe027,20.22
visual_projection,flight steering 2,AN08B071,20.21
visual_projection,head orienting,DNa06,20.2
visual_projection,head orienting,DNge109,20.17
visual_projection,head orienting,ANXXX171,20.14
visual_projection,walking,DNge054,20.08
visual_projection,flight steering 2,AN19B060,20.06
visual_projection,head orienting,AN06B048,20.06
visual_projection,flight steering 2,AN06B051,20.05
visual_projection,head orienting,DNg94,20.05
visual_projection,head orienting,DNge114,20
visual_projection,walking,DNpe028,20
visual_projection,flight power,DNpe012,19.99
visual_projection,taste-touch,DNg30,19.99
visual_projection,reproduction,DNg104,19.98
visual_projection,postural control,DNpe021,19.95
visual_projection,head orienting,AN07B091,19.94
visual_projection,flight power,DNut054,19.91
visual_projection,flight power,DNg110,19.9
visual_projection,flight steering 1,DNb04,19.9
visual_projection,flight power,DNg92_b,19.88
visual_projection,postural control,DNg75,19.88
visual_projection,postural control,DNb05,19.87
visual_projection,flight steering 2,AN03B039,19.86
visual_projection,postural control,DNp10,19.86
visual_projection,postural control,DNpe027_ab,19.86
visual_projection,flight power,DNge070,19.83
visual_projection,walking steering,DNae007,19.81
visual_projection,taste-touch,DNg56,19.8
visual_projection,flight steering 2,AN06A092,19.79
visual_projection,threat response,DNp06,19.78
visual_projection,flight steering 2,DNg18_a,19.77
visual_projection,flight steering 2,AN07B046,19.76
visual_projection,flight steering 1,DNa10,19.75
visual_projection,walking,DNp39,19.75
visual_projection,postural control,DNg95,19.72
visual_projection,visceral control,AN09A005,19.72
visual_projection,postural control,DNp54,19.71
visual_projection,flight power,AN04B023,19.69
visual_projection,walking,DNpe006,19.69
visual_projection,walking,DNb08,19.68
visual_projection,flight steering 1,DNg82,19.67
visual_projection,flight power,DNg02_h,19.66
visual_projection,postural control,DNpe020,19.66
visual_projection,walking,DNpe024,19.66
visual_projection,head orienting,DNge030,19.64
visual_projection,head orienting,AN07B072,19.63
visual_projection,postural control,DNge032,19.62
visual_projection,flight steering 2,AN06A062,19.61
visual_projection,walking,DNge060,19.61
visual_projection,flight steering 1,DNpe005,19.6
visual_projection,probing,DNg90,19.59
visual_projection,taste-touch,DNge140,19.59
visual_projection,flight steering 1,DNbe005,19.56
visual_projection,walking,DNbe002,19.56
visual_projection,taste-touch,AN09B036,19.55
visual_projection,walking,DNge129,19.55
visual_projection,head orienting,AN07B057,19.54
visual_projection,probing,DNde005,19.53
visual_projection,probing,DNge069,19.53
visual_projection,threat response,DNp35,19.53
visual_projection,flight steering 2,AN19B076,19.51
visual_projection,flight power,AN07B041,19.5
visual_projection,flight power,DNg07,19.5
visual_projection,grooming,DNge083,19.49
visual_projection,head orienting,DNg49,19.46
visual_projection,head orienting,AN19B039,19.45
visual_projection,flight power,AN18B022,19.42
visual_projection,flight steering 1,DNg04,19.42
visual_projection,flight steering 2,AN19B079,19.42
visual_projection,reproduction,DNg76,19.42
visual_projection,flight steering 1,DNae002,19.41
visual_projection,postural control,DNpe025,19.41
visual_projection,walking,DNg13,19.41
visual_projection,flight steering 2,AN08B079,19.4
visual_projection,postural control,DNpe037,19.4
visual_projection,flight steering 1,DNbe004,19.39
visual_projection,postural control,AN12A017,19.39
visual_projection,flight power,DNg02_a,19.38
visual_projection,flight steering 2,AN16B078,19.35
visual_projection,walking,AN_GNG_181,19.35
visual_projection,head orienting,AN07B052,19.34
visual_projection,head orienting,AN06A112,19.33
visual_projection,head orienting,DNg58,19.33
visual_projection,threat response,DNp43,19.32
visual_projection,taste-touch,DNp55,19.3
visual_projection,walking,AN17A026,19.27
visual_projection,postural control,DNp71,19.26
visual_projection,walking,DNb09,19.26
visual_projection,flight steering 2,AN07B021,19.24
visual_projection,postural control,DNpe056,19.24
visual_projection,flight power,DNp72,19.22
visual_projection,reproduction,DNg34,19.21
visual_projection,threat response,DNp103,19.18
visual_projection,flight steering 2,AN19B065,19.17
visual_projection,head orienting,DNpe013,19.16
visual_projection,visceral control,DNg102,19.16
visual_projection,flight steering 1,DNg91,19.14
visual_projection,walking,DNp09,19.13
visual_projection,feeding,DNg63,19.12
visual_projection,flight steering 2,AN19B063,19.11
visual_projection,postural control,AN08B112,19.11
visual_projection,postural control,AN12B060,19.09
