"source_bp","target_bp","source_idx","target_idx","index_diff","influence"
"eye","middle leg",6,11,5,0.3264
"neck","middle leg",7,11,4,0.3716
"wing","middle leg",8,11,3,0.6131
"haltere","middle leg",9,11,2,0.3883
"front leg","middle leg",10,11,1,0.7142
"hind leg","middle leg",12,11,1,0.7517
"abdomen","middle leg",13,11,2,0.4065
"reproductive","middle leg",14,11,3,0.3857
"hemolymph","hind leg",1,12,11,0.1369
"enteric","hind leg",2,12,10,0.07379
"pharynx","hind leg",3,12,9,0.2552
"proboscis","hind leg",4,12,8,0.4245
"antenna","hind leg",5,12,7,0.4047
"eye","hind leg",6,12,6,0.2774
"neck","hind leg",7,12,5,0.3082
"wing","hind leg",8,12,4,0.6009
"haltere","hind leg",9,12,3,0.5562
"front leg","hind leg",10,12,2,0.614
"middle leg","hind leg",11,12,1,0.7037
"abdomen","hind leg",13,12,1,0.4433
"reproductive","hind leg",14,12,2,0.4114
"hemolymph","abdomen",1,13,12,0.4909
"enteric","abdomen",2,13,11,0.7087
"pharynx","abdomen",3,13,10,0.3714
"proboscis","abdomen",4,13,9,0.3436
"antenna","abdomen",5,13,8,0.245
"eye","abdomen",6,13,7,0.1783
"neck","abdomen",7,13,6,0.1591
"wing","abdomen",8,13,5,0.546
"haltere","abdomen",9,13,4,0.5495
"front leg","abdomen",10,13,3,0.475
"middle leg","abdomen",11,13,2,0.4968
"hind leg","abdomen",12,13,1,0.5868
"reproductive","abdomen",14,13,1,0.8575
"hemolymph","reproductive",1,14,13,0.5188
"enteric","reproductive",2,14,12,0.6835
"pharynx","reproductive",3,14,11,0.4461
"proboscis","reproductive",4,14,10,0.4198
"antenna","reproductive",5,14,9,0.157
"eye","reproductive",6,14,8,0.008953
"neck","reproductive",7,14,7,0
"wing","reproductive",8,14,6,0.4999
"haltere","reproductive",9,14,5,0.2712
"front leg","reproductive",10,14,4,0.5354
"middle leg","reproductive",11,14,3,0.5613
"hind leg","reproductive",12,14,2,0.5669
"abdomen","reproductive",13,14,1,1
