"source_bp","target_bp","cosine_similarity","influence","is_same_bp"
"eye","wing",0.893203757799974,0.5156,FALSE
"neck","wing",0.89079335724649,0.428,FALSE
"wing","wing",1,1,TRUE
"haltere","wing",0.944227602252146,0.8007,FALSE
"front leg","wing",0.809913295057371,0.4591,FALSE
"middle leg","wing",0.856836352306502,0.5285,FALSE
"hind leg","wing",0.873487674975238,0.4601,FALSE
"abdomen","wing",0.721792926280229,0.2934,FALSE
"reproductive","wing",0.635465212173699,0.08735,FALSE
"hemolymph","haltere",0.758678413367381,0.2375,FALSE
"enteric","haltere",0.704955293191635,0.3724,FALSE
"pharynx","haltere",0.772560460059781,0.2178,FALSE
"proboscis","haltere",0.776888576674359,0.2442,FALSE
"antenna","haltere",0.88906451731254,0.4544,FALSE
"eye","haltere",0.925256650465274,0.7331,FALSE
"neck","haltere",0.944296864460133,0.8349,FALSE
"wing","haltere",0.944227602252146,0.7017,FALSE
"haltere","haltere",1,1,TRUE
"front leg","haltere",0.80902393729916,0.4395,FALSE
"middle leg","haltere",0.845164852637606,0.5179,FALSE
"hind leg","haltere",0.87085596975606,0.548,FALSE
"abdomen","haltere",0.768447052573716,0.4963,FALSE
"reproductive","haltere",0.661174204461443,0.2208,FALSE
"hemolymph","front leg",0.729494777197548,0.1101,FALSE
"enteric","front leg",0.725059608043656,0.06802,FALSE
"pharynx","front leg",0.787123178936051,0.3448,FALSE
"proboscis","front leg",0.896188813006008,0.5748,FALSE
"antenna","front leg",0.942761306083822,0.4063,FALSE
"eye","front leg",0.946856036380379,0.4186,FALSE
"neck","front leg",0.878523936842209,0.4375,FALSE
"wing","front leg",0.809913295057371,0.4952,FALSE
"haltere","front leg",0.80902393729916,0.2309,FALSE
"front leg","front leg",1,1,TRUE
"middle leg","front leg",0.953881523546698,0.6584,FALSE
"hind leg","front leg",0.917336286359228,0.5853,FALSE
"abdomen","front leg",0.701763917690316,0.3197,FALSE
"reproductive","front leg",0.703025694419418,0.1773,FALSE
"hemolymph","middle leg",0.792489374611201,0.1934,FALSE
"enteric","middle leg",0.766369608555568,0.1181,FALSE
"pharynx","middle leg",0.807088657011705,0.3448,FALSE
"proboscis","middle leg",0.873278132657953,0.5024,FALSE
"antenna","middle leg",0.937188961890026,0.4811,FALSE
"eye","middle leg",0.945618012862078,0.3486,FALSE
"neck","middle leg",0.858748760553435,0.3799,FALSE
"wing","middle leg",0.856836352306502,0.6118,FALSE
"haltere","middle leg",0.845164852637606,0.3902,FALSE
"front leg","middle leg",0.953881523546698,0.7101,FALSE
"middle leg","middle leg",1,1,TRUE
"hind leg","middle leg",0.971662837922598,0.7491,FALSE
"abdomen","middle leg",0.793017122669175,0.411,FALSE
"reproductive","middle leg",0.78687882874211,0.3981,FALSE
"hemolymph","hind leg",0.797290584913689,0.1742,FALSE
"enteric","hind leg",0.761958600410128,0.0918,FALSE
"pharynx","hind leg",0.795901116512324,0.2777,FALSE
"proboscis","hind leg",0.827726499488998,0.4425,FALSE
"antenna","hind leg",0.912595106678589,0.4163,FALSE
"eye","hind leg",0.931548799064531,0.3105,FALSE
"neck","hind leg",0.852537244423569,0.3369,FALSE
"wing","hind leg",0.873487674975238,0.6086,FALSE
"haltere","hind leg",0.87085596975606,0.5806,FALSE
"front leg","hind leg",0.917336286359228,0.6148,FALSE
"middle leg","hind leg",0.971662837922598,0.7036,FALSE
"hind leg","hind leg",1,1,TRUE
"abdomen","hind leg",0.820654316798922,0.4486,FALSE
"reproductive","hind leg",0.791573125531138,0.4165,FALSE
"hemolymph","abdomen",0.906398919043418,0.4741,FALSE
"enteric","abdomen",0.894569651244705,0.7063,FALSE
"pharynx","abdomen",0.850936058650177,0.3318,FALSE
"proboscis","abdomen",0.789474308532987,0.3016,FALSE
"antenna","abdomen",0.741672321991298,0.1966,FALSE
"eye","abdomen",0.744772222612926,0.172,FALSE
"neck","abdomen",0.646557195419672,0.1494,FALSE
"wing","abdomen",0.721792926280229,0.5091,FALSE
"haltere","abdomen",0.768447052573716,0.545,FALSE
"front leg","abdomen",0.701763917690316,0.4273,FALSE
"middle leg","abdomen",0.793017122669175,0.4532,FALSE
"hind leg","abdomen",0.820654316798922,0.5644,FALSE
"abdomen","abdomen",1,1,TRUE
"reproductive","abdomen",0.978617292374032,0.8399,FALSE
"hemolymph","reproductive",0.90238713652045,0.5331,FALSE
"enteric","reproductive",0.907688642605646,0.6833,FALSE
"pharynx","reproductive",0.84866928849334,0.4444,FALSE
"proboscis","reproductive",0.800322617666606,0.4198,FALSE
"antenna","reproductive",0.703810990353453,0.1404,FALSE
"eye","reproductive",0.697236035938831,0.002069,FALSE
"neck","reproductive",0.56734745016766,0,FALSE
"wing","reproductive",0.635465212173699,0.474,FALSE
"haltere","reproductive",0.661174204461443,0.2911,FALSE
"front leg","reproductive",0.703025694419418,0.5333,FALSE
"middle leg","reproductive",0.78687882874211,0.5606,FALSE
"hind leg","reproductive",0.791573125531138,0.5628,FALSE
"abdomen","reproductive",0.978617292374032,1,FALSE
"reproductive","reproductive",1,0.8926,TRUE
